Segmented Element,POS
 ,FW
科 ,Na
技 ,Na
大,VH
 ,Na
學 ,Na
工 ,Na
學 ,Na
院 ,Na
翁 文,Nb
 ,Na
爐 ,Na
院 ,Na
長 ,Na
等,Cab
 ,Na
之,DE
 ,Na
審 ,Na
訂,VC
 ,Na
，,COMMACATEGORY
 ,FW
使,VL
 本,Na
 ,Na
手,Na
 冊,Na
 ,Na
得,D
 以,Na
 ,Na
付,VC
 ,Na
梓 ,Na
。,PERIODCATEGORY
 ,Na
由,P
 ,Na
於,P
 ,FW
時 ,Na
間,Ng
 匆 促,VH
 ,Na
，,COMMACATEGORY
 ,FW
且,Caa
 實 ,Na
務 ,Na
資 ,Na
料 ,Na
之,DE
 蒐,Na
 集,Na
 彙,Na
 整,Na
 ,Na
不 ,Na
易 ,Na
，,SHI
 ,Na
內 ,Na
容 ,Na
如,P
 ,Na
有,V_2
 錯,Na
 ,Na
誤 ,Na
漏,Na
 植 ,Na
之,DE
 ,Na
處,Na
 ,Na
，,SHI
 ,Na
尚 ,Na
祈 ,Na
各,Nes
 界,Na
 ,Na
不 ,Na
吝,Na
 指,Na
 ,Na
正 ,Na
。,PERIODCATEGORY
經,P
 濟 部 ,PER
工 業 局,ORG
 ,FW
  謹 識   ,PER
中華民國,ORG
 ,FW
96,Neu
 ,FW
年,FW
 ,FW
8 月,Nd
 ,FW
     ,PER
I,FW
  目 錄    頁碼,PER
 ,FW
 ,FW
 ,FW
第一,Nd
章 ,PER
前言,Na
.............................................................................................................,ETCCATEGORY
1,Neu
 ,FW
 ,FW
 ,FW
1.1,Neu
 緣起 ,PER
..........,ETCCATEGORY
.................................................................................................,ETCCATEGORY
1,Neu
 ,FW
 ,FW
 ,FW
1.2,Neu
 ,FW
技術,Na
手冊,Na
內容,Na
說明,PER
 ,FW
.,PERIODCATEGORY
...................................................................................,ETCCATEGORY
2,Neu
第二,Neu
章,VC
 ,FW
產業,Na
概況,Na
.....................................................................................................,ETCCATEGORY
3,Neu
 ,Ncd
 ,FW
 ,FW
2.1,Neu
 ,FW
產業,Na
發展,Na
沿革,Na
 ,FW
...........................................................................,ETCCATEGORY
................,ETCCATEGORY
3,Neu
 ,FW
 ,FW
 ,FW
2.2,Neu
 ,FW
製程,Na
概述,Na
 ,FW
....................................................................................................,ETCCATEGORY
6,Neu
 ,PERIODCATEGORY
 ,FW
 ,FW
第三章,Nd
 ,Ncd
廢棄物,Na
特性,Na
與,Caa
清理,Na
現況,Na
 ,FW
....................................................,ETCCATEGORY
.....................,ETCCATEGORY
13,Neu
 ,FW
 ,FW
 ,FW
3.1,Neu
 ,FW
廢棄物,Na
來源,Na
及,Caa
特性,A
 ,FW
..................................................................................,ETCCATEGORY
13,Neu
 ,FW
 ,FW
 ,FW
3.2,Neu
 ,FW
廢棄物,Na
產生,VC
量,Na
及,Caa
清理,Na
現況,Na
 ,FW
..........................................................,ETCCATEGORY
...........,ETCCATEGORY
18,Neu
 ,FW
 ,FW
 ,FW
第四,Neu
章,VC
 ,FW
清潔,VH
生產,Nv
...................................................................................................,ETCCATEGORY
22,Neu
 ,PERIODCATEGORY
 ,PERIODCATEGORY
 ,PERIODCATEGORY
4.1,Neu
 ,Ncd
環境,Na
化,VG
設計,Na
 ,FW
.,PERIODCATEGORY
.............................................................,ETCCATEGORY
...............................,ETCCATEGORY
22,Neu
 ,FW
 ,FW
 ,FW
4.2,Neu
 ,FW
廠,Nc
內,Ncd
管理,Na
 ,FW
..................................................................................................,ETCCATEGORY
32,Neu
 ,FW
 ,FW
 ,FW
第五章,Nd
 ,FW
廢棄物,Na
資源,Na
化,VG
技術,Na
 ,FW
.......................................,ETCCATEGORY
..........................................,ETCCATEGORY
46,Neu
 ,FW
 ,FW
 ,FW
5.1,Neu
 ,FW
廢矽,Na
晶圓,Na
資源,Na
化,VG
技術,Na
 ,FW
..............................................................................,ETCCATEGORY
46,Neu
 ,FW
 ,FW
 ,FW
5.2,Neu
 ,FW
廢酸,VH
資源,Na
化,VG
技術,Na
 ,FW
............................................,ETCCATEGORY
.........................................,ETCCATEGORY
49,Neu
 ,FW
 ,FW
 ,FW
5.3,Neu
 ,FW
廢溶劑,Na
資源,Na
化,VG
技術,Na
 ,FW
..................................................................................,ETCCATEGORY
55,Neu
 ,FW
 ,FW
 ,FW
5.4,Neu
 ,FW
無機污,Na
泥,FW
資源,Na
化,VG
技術,Na
 ,FW
........................................,ETCCATEGORY
.....................................,ETCCATEGORY
72,Neu
 ,FW
 ,FW
 ,FW
5.5,Neu
 ,FW
廢切,Na
削油,Nv
資源,Na
化,VG
技術,Na
 ,FW
..............................................................................,ETCCATEGORY
78,Neu
      ,ORG
II,FW
 ,FW
 ,FW
第六章,ORG
 ,FW
廢棄物,Na
資源,Na
化案,Na
例,FW
 ,FW
.,PERIODCATEGORY
.......................................,ETCCATEGORY
.........................................,ETCCATEGORY
84,Neu
 ,FW
 ,FW
 ,FW
6.1,Neu
 ,FW
廢酸,Na
資源,Na
化,VG
技術案,Na
例,FW
 ,FW
..............................................................................,ETCCATEGORY
84,Neu
 ,FW
 ,FW
 ,FW
6.2,Neu
 ,FW
廢溶劑,Na
資源,Na
化,VG
技術案,Na
例,FW
 ,FW
..........................................,ETCCATEGORY
...............................,ETCCATEGORY
96,Neu
 ,FW
 ,FW
 ,FW
6.3,Neu
 ,FW
廢,VH
切,D
削油,Na
資源,Na
化,VH
技術案,Na
例,FW
 ,FW
....................................................................,ETCCATEGORY
102,Neu
 ,FW
 ,FW
 ,FW
第七章,Nd
 ,Ncd
技術,Na
評估,Nv
與,Caa
設備,Na
選用,VC
程序,Na
 ,FW
..........................................................,ETCCATEGORY
.........,ETCCATEGORY
105,Neu
 ,FW
 ,FW
 ,FW
7.1,Neu
 ,FW
資源,Na
化,VG
技術,Na
評估,Nv
流程,Na
 ,FW
............................................................................,ETCCATEGORY
105,Neu
 ,Ncd
 ,Ncd
 ,FW
7.2,Neu
 ,FW
資源,Na
化,VH
設備,Nv
選用,VC
程序,Na
 ,Ncd
...........................................................................,ETCCATEGORY
107,Neu
 ,FW
 ,FW
 ,FW
7.3,Neu
 ,FW
資源,Na
化,VG
成本,Na
分析,VC
 ,FW
....................................................................................,ETCCATEGORY
114,Neu
 ,FW
  參考,PER
文獻,Na
........................................................................................,ETCCATEGORY
........................,ETCCATEGORY
119,Neu
      III,ORG
  圖 目 錄    ,ORG
圖,Na
 ,FW
2.1,Neu
-,DASHCATEGORY
1,Neu
 ,FW
2005,Neu
~,FW
2021,Neu
 ,FW
年,FW
矽,Na
晶圓,Na
材料,Na
技術,Na
發展,Nv
趨勢,VH
................................................,ETCCATEGORY
5,Neu
   ,ORG
圖,Na
 ,Ncd
2.2,Neu
-,DASHCATEGORY
1,Neu
 ,Ncd
西門,LOC
子式,A
多,VH
晶矽,Na
的,DE
生產,Nv
流程,Na
..................................................,ETCCATEGORY
................,ETCCATEGORY
7,Neu
   圖,ORG
 ,FW
2.2,Neu
-,DASHCATEGORY
2,Neu
 ,FW
單晶矽,Na
生產,Nv
流程,Na
 ,FW
.......................................................................................,ETCCATEGORY
8,Neu
   ,ORG
圖,Na
 ,FW
3.1,Neu
-,DASHCATEGORY
1,Neu
 ,Ncd
典型矽,Na
晶圓,Na
製造,VC
流程,Na
及,Caa
其,Nep
污染源,Na
產生,Nv
圖,Na
.............................................,ETCCATEGORY
14,Neu
圖,Na
 ,FW
3.1,Neu
-,DASHCATEGORY
2,Neu
 ,FW
廢矽晶,Na
頭尾,Na
料,VC
 ,FW
.........................................................................................,ETCCATEGORY
15,Neu
   ,ORG
圖,Na
 ,FW
3.1,Neu
-,DASHCATEGORY
3,Neu
 ,Ncd
廢矽晶,Na
堝,Ncd
底,Ncd
料,VC
 ,FW
.,PERIODCATEGORY
..........................................................................,ETCCATEGORY
.............,ETCCATEGORY
16,Neu
   圖,ORG
 ,FW
3.1,Neu
-,DASHCATEGORY
4,Neu
 ,FW
矽,Na
晶圓,Na
破片,Na
 ,FW
.............................................................................................,ETCCATEGORY
16,Neu
   ,ORG
圖,Na
 ,FW
4.1,Neu
-,DASHCATEGORY
1,Neu
 ,Ncd
矽晶,Na
圓片,Na
的,DE
主要,A
製造,VC
流程,Na
及,Caa
晶圓片,Na
類,VC
別,Nes
.............................................,ETCCATEGORY
3,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
4.1,Neu
-,DASHCATEGORY
2,Neu
 ,FW
矽,Na
晶圓,Na
拋,VC
光片,Na
之,DE
製造,VC
流程,Na
.....................................................................,ETCCATEGORY
24,Neu
   ,ORG
圖,Na
 ,FW
4.1,Neu
-,DASHCATEGORY
3,Neu
 ,Ncd
環境,Na
特性,A
分析,Na
之,DE
作業,Na
流程,Na
.....................................................................,ETCCATEGORY
25,Neu
   圖,PER
 ,FW
4.2,Neu
-,DASHCATEGORY
1,Neu
 全流,PER
密閉,VH
容器,Na
的,DE
清洗,Nv
程序,Na
.................................................................,ETCCATEGORY
38,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
4.2,Neu
-,DASHCATEGORY
2,Neu
 ,FW
十二,Neu
吋,Nf
拋光片,Na
清洗,Nv
流程,Na
.........................................................................,ETCCATEGORY
38,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
4.2,Neu
-,DASHCATEGORY
3,Neu
 ,FW
滿足線,Na
寬小,VH
於,P
 ,FW
0.25,Neu
μ,Nf
m,FW
 ,FW
製程,Na
用,VC
型,Na
的,DE
超,VJ
純水,Na
系統,Na
的,DE
流程,Na
.................,ETCCATEGORY
41,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.1,Neu
-,DASHCATEGORY
1,Neu
 ,FW
矽晶圓,Na
製成,VC
太陽能,Na
電池,Na
流程,Na
.................................................................,ETCCATEGORY
48,Neu
   ,ORG
圖,Na
 ,FW
5.2,Neu
-,DASHCATEGORY
1,Neu
 ,Ncd
矽晶圓片,Na
製造,VC
流程,Na
.,PERIODCATEGORY
.............................................................,ETCCATEGORY
..................,ETCCATEGORY
50,Neu
   圖,ORG
 ,FW
5.3,Neu
-,DASHCATEGORY
1,Neu
 ,FW
布雷登,PER
有機,A
溶劑,Na
回收,VC
流程,Na
.....................................................................,ETCCATEGORY
57,Neu
   ,ORG
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
2,Neu
 ,Ncd
溶劑,Na
吸收,VC
法,A
流程,Na
 ,Ncd
.,PERIODCATEGORY
...................................................................,ETCCATEGORY
................,ETCCATEGORY
57,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
3,Neu
 ,FW
活性,Na
碳,Na
吸附,VC
再生,VH
流程,Na
.............................................................................,ETCCATEGORY
58,Neu
 ,Na
 ,Na
 ,Na
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
4,Neu
 ,Na
催化,VC
燃燒,Nv
法,Na
流程,Na
 ,FW
.,PERIODCATEGORY
...............................................................,ETCCATEGORY
....................,ETCCATEGORY
58,Neu
   圖,ORG
 ,FW
5.3,Neu
-,DASHCATEGORY
5,Neu
 ,FW
有機,A
混合,VC
廢溶劑,Na
蒸餾,Nv
回收,Nv
流程,Na
............................................................,ETCCATEGORY
.,Nes
61,Neu
 ,Na
  ,Nc
圖,Na
 ,Ncd
5.3,Neu
-,DASHCATEGORY
6,Neu
 ,Ncd
廢溶劑,Na
簡單,A
蒸餾,Nv
回收,Nv
裝置,Na
.....................................................................,ETCCATEGORY
2,Neu
 ,FW
  圖,Nb
 ,FW
5.3,Neu
-,DASHCATEGORY
7,Neu
 ,FW
萃取精餾,Nb
裝置,Na
簡圖,Na
.................................................................................,ETCCATEGORY
63,Neu
      ,ORG
IV,FW
  ,ORG
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
8,Neu
 ,Ncd
滲透,VC
蒸發,VC
分離,Na
原理,Nb
.,PERIODCATEGORY
.....................................................................,ETCCATEGORY
..........,ETCCATEGORY
64,Neu
   ,ORG
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
9,Neu
 ,FW
透析,VC
原理,Na
示意圖,Na
 ,FW
....................................................................................,ETCCATEGORY
.,Nes
66,Neu
   ,ORG
圖,Na
 ,FW
5.3,Neu
-,DASHCATEGORY
10,Neu
 ,Ncd
液體,Na
噴注式,Na
焚化,VC
爐,FW
示意圖,Na
...........................................................,ETCCATEGORY
.........,ETCCATEGORY
68,Neu
   圖,ORG
 ,FW
5.3,Neu
-,DASHCATEGORY
11,Neu
 ,FW
旋轉窯,Na
焚化,VC
爐,FW
示意,VE
圖,Na
.............................................................................,ETCCATEGORY
69,Neu
 ,Na
 ,Na
 ,Na
圖,Na
 ,FW
5.4,Neu
-,DASHCATEGORY
1,Neu
 ,FW
無機性,Na
污,Na
泥,Na
替代,A
水,Na
泥,FW
原料,Na
再,D
利用,VC
流程,Na
.,PERIODCATEGORY
................................................,ETCCATEGORY
74,Neu
   圖,ORG
 ,FW
5.4,Neu
-,DASHCATEGORY
2,Neu
機性,Na
污泥,Na
再,D
利用,VC
於,P
燒製,VC
陶瓷,Na
時,Ng
之,DE
柵板,Na
流程,Na
.....................................,ETCCATEGORY
74,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.4,Neu
-,DASHCATEGORY
3,Neu
 ,FW
無機性,Na
污泥,Na
替代,VC
磚塊,Na
原料,Na
再,D
利用,VC
流程,Na
.................................................,ETCCATEGORY
76,Neu
 ,Na
 ,Na
 ,FW
圖,Na
 ,FW
5.4,Neu
-,DASHCATEGORY
4,Neu
 ,FW
無機性,Na
污泥,Na
替代,VJ
人工,Na
骨材,Na
原料,Na
再,D
利用,VC
流程,Na
....................................,ETCCATEGORY
....,ETCCATEGORY
77,Neu
   圖,ORG
 ,FW
5.4,Neu
-,DASHCATEGORY
5,Neu
 ,FW
中鋼公司,ORG
再,D
利用,VC
氟化,VC
鈣污,Na
泥,FW
前,Ng
加工,Nv
處理,Nv
流程,Na
.....................................,ETCCATEGORY
77,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.5,Neu
-,DASHCATEGORY
1,Neu
 ,FW
廢,VH
切削,Na
油,Na
過,Di
濾,Na
與,Caa
分離,Na
之,DE
設備,Na
.................................................................,ETCCATEGORY
81,Neu
   ,ORG
圖,Na
 ,FW
5.5,Neu
-,DASHCATEGORY
2,Neu
 ,Ncd
遠心,Na
分離機,Na
運作,Nv
原理,Na
...............,ETCCATEGORY
.............................................................,ETCCATEGORY
82,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
5.5,Neu
-,DASHCATEGORY
3,Neu
 ,FW
廢,VH
切,Na
削油,Na
多重,A
離心,Na
回收,VC
系統,Na
範例,PER
.........................................................,ETCCATEGORY
83,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
6.1,Neu
-,DASHCATEGORY
1,Neu
 ,FW
矽晶,Na
圓片,Na
化學,Na
蝕刻,
廢混,Na
酸,Na
之,DE
溶劑,Na
萃取,VC
流程,Na
及,Caa
質量,Na
平衡,VHC
...................,ETCCATEGORY
.,PERIODCATEGORY
90,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
6.1,Neu
-,DASHCATEGORY
2,Neu
 ,FW
廢混酸,Na
以,P
 ,FW
2,Neu
-,DASHCATEGORY
乙基己醇,Nb
為,VG
萃取劑,Na
的,DE
等溫,Na
萃取線,Na
及,Caa
醋酸,Na
的,DE
麥泰 ,PER
(,PARENTHESISCATEGORY
McCabe-Thielie,FW
),PARENTHESISCATEGORY
分析,Na
...........................................................................,ETCCATEGORY
.,Nes
91,Neu
 ,Na
  ,Na
圖,Na
 ,FW
6.1,Neu
-,DASHCATEGORY
3,Neu
 ,FW
廢混酸,Na
以,P
 ,Na
2,Neu
-,DASHCATEGORY
乙基己醇,Nb
萃取,VC
分離,Na
後,Ng
的,DE
洗滌,VC
段數,Na
與,Caa
有機,A
相,D
濃度,Na
關係,Na
 ,Na
(,PARENTHESISCATEGORY
洗滌,VC
液,Na
：,COLONCATEGORY
2,Neu
mol/L,FW
 ,FW
醋酸,Na
，,COMMACATEGORY
O,FW
/,FW
A,FW
=,FW
10,Neu
),PARENTHESISCATEGORY
 ,FW
........................................................,ETCCATEGORY
91,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
6.1,Neu
-,DASHCATEGORY
4,Neu
 ,FW
以,P
水,Na
自,P
 ,FW
2,Neu
-,DASHCATEGORY
乙基己醇,PER
脫除,VC
醋酸,Na
的,DE
等,Cab
溫,VH
脫除,VC
線,Na
及,Caa
其麥,LOC
－,FW
泰 ,Nb
(,PARENTHESISCATEGORY
McCabe-Thielie,FW
),PARENTHESISCATEGORY
作,VC
圖法,Na
分析,Na
................................................................,ETCCATEGORY
92,Neu
 ,FW
 ,FW
 ,FW
圖,Na
 ,FW
6.1,Neu
-,DASHCATEGORY
5,Neu
廢混酸,Na
以,P
磷酸,Na
三丁酯,Na
(,PARENTHESISCATEGORY
TBP,FW
),PARENTHESISCATEGORY
為,VG
萃取劑,Na
的,DE
等溫,Na
萃取線,Na
及,Caa
硝酸,Na
的,DE
麥 ,Na
－,FW
泰,Nb
(,PARENTHESISCATEGORY
McCabe-Thielie,FW
),PARENTHESISCATEGORY
分析,VC
...................................................................,ETCCATEGORY
.,Nes
92,Neu
 ,FW
 ,Na
 ,FW
圖,Na
 ,FW
6.1,Neu
-,DASHCATEGORY
6,Neu
 ,FW
廢,VH
混酸,Na
以,P
磷酸,Na
三丁酯,Na
(,PARENTHESISCATEGORY
TBP,FW
),PARENTHESISCATEGORY
萃取,VC
分離,Na
後,Ng
的,DE
洗滌,Nv
段數,Na
與,Caa
有機相,Na
濃,VH
 度,Na
關係,Na
(,PARENTHESISCATEGORY
洗滌液,Na
：,COLONCATEGORY
12,Neu
