Entity,Count,Ratio
一道,2,0.25%
一功能,2,0.25%
64隻腳,2,0.25%
下面幾道作業,2,0.25%
bond,2,0.25%
七,2,0.25%
一盤,2,0.25%
中,2,0.25%
個晶粒座,2,0.25%
位置,2,0.25%
一塊單晶矽,1,0.12%
細部的電子特性測試與物理特性測試,1,0.12%
細分,1,0.12%
光阻,1,0.12%
級產品,1,0.12%
等的外觀檢驗,1,0.12%
管理,1,0.12%
結晶方式,1,0.12%
一塊,1,0.12%
結晶,1,0.12%
第二點與鋼,1,0.12%
一動作叫晶圓黏片,1,0.12%
結構,1,0.12%
經,1,0.12%
"線備 
 
",1,0.12%
一家測試廠,1,0.12%
第一,1,0.12%
第二,1,0.12%
稱,1,0.12%
矽結晶時間,1,0.12%
研磨墊,1,0.12%
研磨機內,1,0.12%
磨具,1,0.12%
程序,1,0.12%
程式有,1,0.12%
一層光阻,1,0.12%
種產品電性特性的測試機台,1,0.12%
稱之為,1,0.12%
線架從彈匣內,1,0.12%
稱半導體後段製程,1,0.12%
稱為第一,1,0.12%
稱為第二,1,0.12%
空區的機器,1,0.12%
站,1,0.12%
章半導體製造概,1,0.12%
"章半導體製造概
 
近幾",1,0.12%
端點,1,0.12%
線架,1,0.12%
線路圖部份,1,0.12%
線鋸,1,0.12%
處,1,0.12%
處理步驟通常,1,0.12%
"處理製程 
  
",1,0.12%
號線,1,0.12%
蝕刻,1,0.12%
一個目,1,0.12%
表面的潔淨度,1,0.12%
表面黏著型,1,0.12%
一個,1,0.12%
一位置將晶,1,0.12%
表面黏著技術的封裝方式,1,0.12%
表面黏著技術的發展,1,0.12%
表面黏著技術的需求,1,0.12%
裝置,1,0.12%
製作,1,0.12%
一些電性,1,0.12%
"製程 
 
",1,0.12%
製程共用,1,0.12%
處理,1,0.12%
著晶圓加工的上游產業則,1,0.12%
線路,1,0.12%
著厚,1,0.12%
矽沾,1,0.12%
線路的接方可,1,0.12%
繁多,1,0.12%
繫,1,0.12%
缺少測試程式,1,0.12%
腐蝕性的化學溶劑當研磨液,1,0.12%
一公尺,1,0.12%
腳品,1,0.12%
一全程的檢測,1,0.12%
一個電性抽測的動作,1,0.12%
膠帶皺摺,1,0.12%
膠體,1,0.12%
膠體的清潔,1,0.12%
自身工廠的成品,1,0.12%
至此,1,0.12%
與多台的分類機及針測機,1,0.12%
船期的安排,1,0.12%
矽的純度,1,0.12%
矽愈,1,0.12%
矽晶圓上,1,0.12%
測試項目,1,0.12%
測試的服務,1,0.12%
測試的機台,1,0.12%
一種,1,0.12%
測試程式的語法,1,0.12%
測試結果報告,1,0.12%
測試結果資料,1,0.12%
"測試製程
 
測試",1,0.12%
測試配件,1,0.12%
游廠商,1,0.12%
測試機台的測試次,1,0.12%
溫度,1,0.12%
溫度的有,1,0.12%
溫度的測試環境,1,0.12%
激增,1,0.12%
一百公斤,1,0.12%
為半導體產品測試的流程圖,1,0.12%
為晶圓允收區,1,0.12%
為晶圓切割,1,0.12%
一站,1,0.12%
測試機台的使用,1,0.12%
製造,1,0.12%
一道機台,1,0.12%
測品的品質,1,0.12%
測品的外形,1,0.12%
測品的測試,1,0.12%
測品的產品,1,0.12%
測品的電性測試結果,1,0.12%
測品的電性特性,1,0.12%
測品的電性特性及外形接腳數的不同,1,0.12%
測品重,1,0.12%
測試區作,1,0.12%
測試機台測試的待測品,1,0.12%
測試及檢驗流程,1,0.12%
測試廠當,1,0.12%
測試效果,1,0.12%
測試機及混合式測試機,1,0.12%
測試機台一次,1,0.12%
測試機台介面,1,0.12%
測試機台內的控制細節,1,0.12%
測試機台有能,1,0.12%
為確定,1,0.12%
為記憶體,1,0.12%
為例,1,0.12%
目前商業應用,1,0.12%
一條導線架,1,0.12%
一根爐管,1,0.12%
用材料,1,0.12%
由,1,0.12%
發展,1,0.12%
皆,1,0.12%
目,1,0.12%
目前,1,0.12%
目前常見,1,0.12%
烤乾,1,0.12%
一根根的爐管,1,0.12%
直分工細,1,0.12%
直徑愈,1,0.12%
相同,1,0.12%
一接點,1,0.12%
一層次,1,0.12%
短期,1,0.12%
矽,1,0.12%
產業體系,1,0.12%
產業,1,0.12%
產品電性測試結果的判斷,1,0.12%
產品設計製造,1,0.12%
熱爐管,1,0.12%
熱量,1,0.12%
燈光,1,0.12%
爾後,1,0.12%
物質能,1,0.12%
特性,1,0.12%
特性最,1,0.12%
特性量測,1,0.12%
瑕疵等,1,0.12%
一樣,1,0.12%
環境的溫度選擇,1,0.12%
生命週期,1,0.12%
一條金線的銲線動作,1,0.12%
產品的各種電性,1,0.12%
產品的感覺,1,0.12%
產品的電性功能,1,0.12%
產品的良品,1,0.12%
製程的需要,1,0.12%
規格以確,1,0.12%
規格,1,0.12%
高輸出入接腳數,1,0.12%
顆顆的晶粒,1,0.12%
體系,1,0.12%
"0%3%
5%0%0%",1,0.12%
高分子捲帶,1,0.12%
高分子捲帶的材料,1,0.12%
高可靠度的產品,1,0.12%
.,1,0.12%
高腳數,1,0.12%
黃光定,1,0.12%
顆插入,1,0.12%
黏著型方面,1,0.12%
點,1,0.12%
金屬化製程,1,0.12%
金屬導線,1,0.12%
金屬層則,1,0.12%
金屬碎屑,1,0.12%
金屬電路,1,0.12%
金級矽,1,0.12%
顆晶粒,1,0.12%
顆,1,0.12%
測品其產品的電性特性及測試機台測試,1,0.12%
1960年代,1,0.12%
電性抽測,1,0.12%
電性測,1,0.12%
2,1,0.12%
電晶體,1,0.12%
電晶體及部份的字元線,1,0.12%
電氣測試值來,1,0.12%
電腦,1,0.12%
電鍍,1,0.12%
1000,1,0.12%
項目,1,0.12%
電路板,1,0.12%
電路板結合,1,0.12%
電路的產品,1,0.12%
電路製程,1,0.12%
電力的傳送,1,0.12%
需求,1,0.12%
需要,1,0.12%
項性質印字,1,0.12%
金線,1,0.12%
邏輯,1,0.12%
邏輯性產品,1,0.12%
" 
 
",1,0.12%
利用蝕刻技術,1,0.12%
利用酸液來腐蝕,1,0.12%
理特性未,1,0.12%
裡面,1,0.12%
離子植入,1,0.12%
離子源,1,0.12%
"%7.1%20%
0.16%0%",1,0.12%
粒座,1,0.12%
狀晶圓的圓周邊緣,1,0.12%
路徑,1,0.12%
切割,1,0.12%
切割的晶圓,1,0.12%
切屑,1,0.12%
切除,1,0.12%
行彎腳品的修復作業,1,0.12%
行磷原子的植入,1,0.12%
降溫,1,0.12%
諸多項性質的檢驗,1,0.12%
流通,1,0.12%
料口,1,0.12%
了晶粒,1,0.12%
-,1,0.12%
路板結,1,0.12%
路板結合,1,0.12%
磊晶層的平坦度,1,0.12%
雷射修補機,1,0.12%
雷射掃描的方式,1,0.12%
異常,1,0.12%
-等,1,0.12%
不良品的位置,1,0.12%
數點,1,0.12%
沈積,1,0.12%
-l,1,0.12%
兩部機,1,0.12%
良品,1,0.12%
良品增加,1,0.12%
量測,1,0.12%
濾出電性功能,1,0.12%
年代中,1,0.12%
電性功能,1,0.12%
20,1,0.12%
電子製造技術,1,0.12%
退貨,1,0.12%
變化型還包括,1,0.12%
貨運的安排事宜,1,0.12%
資,1,0.12%
質符合,1,0.12%
賴焊接方,1,0.12%
輸送,1,0.12%
轉換介面,1,0.12%
退火,1,0.12%
這是一個,1,0.12%
進行測試,1,0.12%
這種封裝型態,1,0.12%
這種封裝的材料,1,0.12%
通信,1,0.12%
通常,1,0.12%
通用電子,1,0.12%
速度,1,0.12%
週邊產業的繁榮,1,0.12%
週邊的導線架製造,1,0.12%
變下,1,0.12%
試程式的內容,1,0.12%
試產品的電性功能種類,1,0.12%
試機台時,1,0.12%
規格內,1,0.12%
一些測試配件,1,0.12%
訊號傳輸,1,0.12%
訊號傳送接點的一個轉換介面,1,0.12%
訊號傳遞,1,0.12%
轉印式,1,0.12%
記憶體性產品,1,0.12%
設備,1,0.12%
設光阻層,1,0.12%
設定點,1,0.12%
設計,1,0.12%
設計圖案,1,0.12%
許多,1,0.12%
許多客戶,1,0.12%
許多支外引腳,1,0.12%
試區的檢測,1,0.12%
polyimide,1,0.12%
進烘烤爐,1,0.12%
99.999999999%,1,0.12%
電子科技,1,0.12%
隻腳不等,1,0.12%
間距小,1,0.12%
44隻腳,1,0.12%
限制,1,0.12%
陣式的多排法,1,0.12%
陶瓷封裝,1,0.12%
陶瓷封裝成本,1,0.12%
陶瓷封裝的發展,1,0.12%
階,1,0.12%
雕刻,1,0.12%
邊,1,0.12%
37%,1,0.12%
電子,1,0.12%
3,1,0.12%
電子封裝產業,1,0.12%
電子影像處理技術,1,0.12%
電子於線,1,0.12%
2000的氮化矽,1,0.12%
電子產品的需要,1,0.12%
開始,1,0.12%
鑽石磨具的加工,1,0.12%
鏡面,1,0.12%
鋼製的框架,1,0.12%
邊周圍,1,0.12%
邊拉邊,1,0.12%
部份作業,1,0.12%
部份切削痕跡,1,0.12%
配件,1,0.12%
配置,1,0.12%
重量,1,0.12%
"6%40%
0.14%00.3%",1,0.12%
"針測
 
",1,0.12%
針測機,1,0.12%
針測流程,1,0.12%
針狀,1,0.12%
"5%33.3%24%
6%21.",1,0.12%
銅箔,1,0.12%
銲線,1,0.12%
銲線的動作,1,0.12%
鋸片,1,0.12%
測品接腳,1,0.12%
一道步驟,1,0.12%
測品其接腳的分佈位置及腳數,1,0.12%
大者,1,0.12%
外殼,1,0.12%
外界之電路,1,0.12%
個導線架,1,0.12%
外觀及,1,0.12%
外面,1,0.12%
修補機的控制電腦,1,0.12%
多步驟,1,0.12%
大,1,0.12%
大部份邏輯,1,0.12%
塑膠兩種,1,0.12%
大量生產且,1,0.12%
大類,1,0.12%
好的印字令人,1,0.12%
如,1,0.12%
字跡,1,0.12%
保護,1,0.12%
保晶片,1,0.12%
完整性,1,0.12%
墨水,1,0.12%
塑膠封裝品質及技術,1,0.12%
工作以,1,0.12%
圓柱狀結晶棒,1,0.12%
單位晶圓產能,1,0.12%
單晶結構,1,0.12%
個測試頭,1,0.12%
國內者,1,0.12%
國家經濟動脈的一個主力,1,0.12%
圓中的不良品,1,0.12%
圓弧形,1,0.12%
個步驟,1,0.12%
圓針,1,0.12%
個導線架上一同,1,0.12%
圖案,1,0.12%
圖為晶圓針測的流程圖,1,0.12%
地方,1,0.12%
地點在海外者,1,0.12%
型態,1,0.12%
個或,1,0.12%
塊相,1,0.12%
塑膠,1,0.12%
保封裝成品與基版間,1,0.12%
定位及動作的連器續性,1,0.12%
依照,1,0.12%
導線架置,1,0.12%
將矽石,1,0.12%
將預備,1,0.12%
對封裝製程,1,0.12%
對稱性,1,0.12%
導線,1,0.12%
作業,1,0.12%
導線架上的內引腳,1,0.12%
導線架則如圖,1,0.12%
低來判斷,1,0.12%
客戶將測試完成品送,1,0.12%
小時內,1,0.12%
以下數種,1,0.12%
就是上測試機台去,1,0.12%
尺寸,1,0.12%
尾兩端錐狀段,1,0.12%
層,1,0.12%
層第二,1,0.12%
層薄薄,1,0.12%
作業的目,1,0.12%
將待測品,1,0.12%
封裝過程中,1,0.12%
"封裝製造技術
 
",1,0.12%
客戶手中,1,0.12%
依據最後,1,0.12%
容器包裝,1,0.12%
密合,1,0.12%
依,1,0.12%
使用者,1,0.12%
"封裝型態
 
",1,0.12%
封裝型態可以,1,0.12%
封裝型態應用產品變化型態,1,0.12%
封裝技術,1,0.12%
使用,1,0.12%
封裝材料,1,0.12%
封裝模上,1,0.12%
封裝模上的樹脂,1,0.12%
封裝的技術,1,0.12%
封裝的材料,1,0.12%
封裝的目,1,0.12%
個獨立,1,0.12%
商標粘貼,1,0.12%
商品的規格及製造者,1,0.12%
分類機的降溫,1,0.12%
凸塊,1,0.12%
出入接腳數,1,0.12%
出貨的運送作業,1,0.12%
刀一刀,1,0.12%
分類,1,0.12%
像,1,0.12%
分類機內,1,0.12%
分類機會,1,0.12%
刻印,1,0.12%
加工結果,1,0.12%
削與腐蝕,1,0.12%
前,1,0.12%
前面,1,0.12%
前兩者,1,0.12%
剪切,1,0.12%
剪切成型,1,0.12%
傳送訊號,1,0.12%
功能測試乃,1,0.12%
凸出,1,0.12%
具有,1,0.12%
價值的產業,1,0.12%
其電性功能,1,0.12%
光阻劑,1,0.12%
入庫檢驗,1,0.12%
內引腳,1,0.12%
全球電子市場消費水準的提昇,1,0.12%
八,1,0.12%
光罩,1,0.12%
先,1,0.12%
其他,1,0.12%
其內,1,0.12%
優點,1,0.12%
其外面的引腳,1,0.12%
其客戶的指示,1,0.12%
其引腳的外觀,1,0.12%
其步驟,1,0.12%
其測試結果,1,0.12%
其經驗與電子學上,1,0.12%
其製造過程,1,0.12%
加工,1,0.12%
加工面壓,1,0.12%
員與客戶協調,1,0.12%
個獨立封膠晶粒的模樣,1,0.12%
厚度薄,1,0.12%
原來,1,0.12%
去除與,1,0.12%
個電晶體與元件,1,0.12%
又,1,0.12%
取放臂一顆一顆,1,0.12%
受到,1,0.12%
另一種,1,0.12%
"可程式化邏輯
",1,0.12%
加溫,1,0.12%
可能,1,0.12%
台灣,1,0.12%
右圖,1,0.12%
右圖長,1,0.12%
各種電子元件,1,0.12%
各種高度,1,0.12%
同一,1,0.12%
品牌的測試機台,1,0.12%
印頭,1,0.12%
印方式使用,1,0.12%
印字不,1,0.12%
印字的目,1,0.12%
加溫烘烤,1,0.12%
動作,1,0.12%
包箱,1,0.12%
包裝,1,0.12%
傳輸設備,1,0.12%
包裝型態,1,0.12%
側面,1,0.12%
包覆,1,0.12%
化學溶劑,1,0.12%
化學溶液,1,0.12%
區域,1,0.12%
十,1,0.12%
半導體產業體系架構,1,0.12%
半導體製程,1,0.12%
半導體製造為一,1,0.12%
個數視測試機台的機型規格,1,0.12%
印字機,1,0.12%
屬線將晶片,1,0.12%
工作站,1,0.12%
測品一顆顆,1,0.12%
有需求,1,0.12%
"
總計100%100%100%100%100%
 
 
八",1,0.12%
晶粒的位置,1,0.12%
晶粒的金屬墊上,1,0.12%
最,1,0.12%
會,1,0.12%
會有些利用人力,1,0.12%
一顆送入,1,0.12%
有缺陷,1,0.12%
未來製程,1,0.12%
一顆顆,1,0.12%
本區機器,1,0.12%
本區的作用,1,0.12%
本區的機台大,1,0.12%
本區的製造過程,1,0.12%
材料可,1,0.12%
柱切,1,0.12%
一顆晶粒,1,0.12%
框架的支撐,1,0.12%
晶粒一個,1,0.12%
晶種的旋轉,1,0.12%
工程,1,0.12%
晶片因,1,0.12%
時,1,0.12%
三十多,1,0.12%
晶圓加工,1,0.12%
晶圓背面,1,0.12%
晶圓製造過程,1,0.12%
晶圓針,1,0.12%
晶圓黏片,1,0.12%
一說明,1,0.12%
晶片提供,1,0.12%
一點,1,0.12%
晶片測試的訂單,1,0.12%
晶片的測試,1,0.12%
晶片的阻質,1,0.12%
晶片表面,1,0.12%
晶片表面光,1,0.12%
晶片輕,1,0.12%
晶片切割機,1,0.12%
晶矽,1,0.12%
條件,1,0.12%
條導線架,1,0.12%
條金線,1,0.12%
氮化矽層,1,0.12%
"檢腳 
 
檢",1,0.12%
檢腳抽檢與彎腳修整,1,0.12%
一部機器,1,0.12%
一部,1,0.12%
歪斜度,1,0.12%
每次測試,1,0.12%
每次的測試環境溫度要求,1,0.12%
比較,1,0.12%
氮氣,1,0.12%
業者,1,0.12%
水氣,1,0.12%
水氣的腐蝕,1,0.12%
污染洗淨程序,1,0.12%
污染物質,1,0.12%
污漬,1,0.12%
清晰及膠體,1,0.12%
清洗液與,1,0.12%
光阻上面,1,0.12%
一部測試機台,1,0.12%
檢查,1,0.12%
機械視覺設備,1,0.12%
機械與化學加工方式,1,0.12%
業更,1,0.12%
標準容器,1,0.12%
模上,1,0.12%
模中,1,0.12%
模機,1,0.12%
一項作業,1,0.12%
樹脂硬殼,1,0.12%
機具,1,0.12%
機台,1,0.12%
機台外,1,0.12%
機台測試,1,0.12%
機台測試的流程,1,0.12%
機器,1,0.12%
機壓,1,0.12%
機械方式,1,0.12%
一電性量測值的變異,1,0.12%
機械的切削,1,0.12%
三次的測試,1,0.12%
是,1,0.12%
早期,1,0.12%
也,1,0.12%
微影的製程,1,0.12%
必要性,1,0.12%
必要的木屑,1,0.12%
快速降溫的目,1,0.12%
二氧化矽,1,0.12%
感光劑易曝光,1,0.12%
態包括,1,0.12%
"態封裝名稱常見應用產品
",1,0.12%
九,1,0.12%
下表,1,0.12%
成品倉庫,1,0.12%
成品如圖,1,0.12%
乃是於封裝後測試封裝完成,1,0.12%
成型的目,1,0.12%
成長,1,0.12%
世界半導體產業,1,0.12%
或,1,0.12%
打線接合技術,1,0.12%
後者,1,0.12%
人工進行檢腳的抽驗,1,0.12%
很多種類,1,0.12%
很多個測試頭,1,0.12%
工程師,1,0.12%
工程師根,1,0.12%
市場佔有比例,1,0.12%
平坦,1,0.12%
平行處理及乒乓處理,1,0.12%
幾十顆,1,0.12%
幾種,1,0.12%
以,1,0.12%
仍,1,0.12%
引腳的導電性及抗氧化性,1,0.12%
強度,1,0.12%
彈匣,1,0.12%
形狀,1,0.12%
今日台灣經濟命脈,1,0.12%
待測品一個,1,0.12%
待測品的分類,1,0.12%
待測品的搭配,1,0.12%
打線接合技術的簡易性及便捷性,1,0.12%
批待測品,1,0.12%
於利,1,0.12%
搭配的包裝型式,1,0.12%
提煉,1,0.12%
插件方式,1,0.12%
插件的方式,1,0.12%
換上,1,0.12%
損傷,1,0.12%
損壞測試,1,0.12%
搬運成本,1,0.12%
搬運過程,1,0.12%
據產品,1,0.12%
下圖,1,0.12%
放,1,0.12%
散熱能,1,0.12%
整性共面度,1,0.12%
整片晶圓,1,0.12%
上下模,1,0.12%
方法,1,0.12%
三種選擇,1,0.12%
於導線架,1,0.12%
提早,1,0.12%
接點的位置,1,0.12%
接點為第二點,1,0.12%
接點為第一銲點,1,0.12%
拋光,1,0.12%
指,1,0.12%
挑戰,1,0.12%
振動,1,0.12%
捲帶式,1,0.12%
上測試機台的測試結果,1,0.12%
上測試機台,1,0.12%
接合捲帶式,1,0.12%
接合是,1,0.12%
接合製程,1,0.12%
接方,1,0.12%
接方式,1,0.12%
接腳,1,0.12%
接腳器,1,0.12%
接長度,1,0.12%
接點,1,0.12%
接點密度,1,0.12%
"
",1,0.12%
