Segmented Element,POS,Dependecies
）,PUNCT,punct
，,PUNCT,punct
以及,CCONJ,cc
週邊,NOUN,nmod:assmod
的,PART,case
導線,NOUN,compound:nn
架,NOUN,compound:nn
製造,NOUN,conj
（,PUNCT,punct
Lead,PUNCT,parataxis:prnmod
-,ADJ,amod
frame,NOUN,compound:nn
manufacture,NOUN,parataxis:prnmod
）,PUNCT,punct
、,PUNCT,punct
連接器,NOUN,compound:nn
製造,NOUN,dobj
（,PUNCT,punct
Connector,PUNCT,parataxis:prnmod
manufacture,NOUN,parataxis:prnmod
）,PUNCT,punct
、,PUNCT,punct
電路板,NOUN,compound:nn
製造,NOUN,nsubj
（,PUNCT,punct
Board,PUNCT,dep
manufacture,NOUN,parataxis:prnmod
）,PUNCT,punct
等,PART,etc
，,PUNCT,punct
此,DET,dep
一,NUM,dep
結合,VERB,acl
緊密,VERB,conj
的,PART,mark
產業,NOUN,compound:nn
體系,NOUN,etc
，,PUNCT,punct
"
",SPACE,punct
形成,VERB,conj
了,PUNCT,punct
今日,NOUN,compound:nn
台灣,PROPN,nmod:assmod
經濟,NOUN,compound:nn
命脈,NOUN,nmod:assmod
之,PART,case
所,NOUN,compound:nn
繫,NOUN,dobj
。,PUNCT,ROOT
"
 
",SPACE,ROOT
一,NUM,dep
、,PUNCT,punct
IC設計,NOUN,nmod:assmod
（,PUNCT,punct
IC,PUNCT,compound:nn
design,NOUN,parataxis:prnmod
）,PUNCT,punct
"
 
",SPACE,punct
二,NUM,dep
、,PUNCT,punct
晶圓,NOUN,compound:nn
製造,NOUN,ROOT
（,PUNCT,punct
Wafer,PUNCT,dep
manufacture,NOUN,parataxis:prnmod
）,PUNCT,punct
"
 
",SPACE,punct
（,PUNCT,punct
一,NUM,dep
）,PUNCT,punct
長晶,NOUN,dep
（,PUNCT,punct
CRYSTA,PUNCT,parataxis:prnmod
L,PUNCT,punct
GROWTH,PUNCT,punct
）,PUNCT,punct
"
 
",SPACE,punct
長晶,NOUN,nsubj
是,VERB,cop
從,ADP,case
矽,NOUN,compound:nn
砂,NOUN,nmod:prep
中,PART,case
（,PUNCT,punct
二氧化矽,NOUN,parataxis:prnmod
）,PUNCT,punct
提煉,VERB,dep
成單,ADJ,amod
晶矽,NOUN,dobj
，,PUNCT,punct
其,PRON,compound:nn
製造,NOUN,compound:nn
過程,NOUN,nsubj
是,VERB,cop
將矽石,NOUN,compound:nn
（,PUNCT,punct
Silica,PUNCT,conj
）,PUNCT,punct
或,CCONJ,cc
矽酸,NOUN,compound:nn
鹽,NOUN,dep
 ,SPACE,punct
（,PUNCT,punct
Silicate,PUNCT,parataxis:prnmod
）,PUNCT,punct
如同,ADP,case
冶金,VERB,nmod:prep
一,VERB,dep
樣,VERB,conj
，,PUNCT,punct
放入,VERB,conj
爐,PUNCT,punct
中,PART,case
熔解,VERB,conj
提煉,VERB,conj
，,PUNCT,punct
形成,VERB,conj
冶金,ADJ,compound:nn
級矽,NOUN,dobj
。,PUNCT,punct
由,ADP,case
於冶,ADP,case
金級,NOUN,compound:nn
矽,NOUN,advmod:loc
中,PART,case
尚,ADV,advmod
含有,VERB,nmod:prep
雜質,NOUN,dobj
，,PUNCT,punct
因此,ADV,advmod
，,PUNCT,punct
必須,VERB,aux:modal
再,ADV,advmod
用,ADP,case
分餾,VERB,acl
及,CCONJ,cc
還原,VERB,conj
的,PART,mark
方法,NOUN,nmod:prep
將,X,aux:ba
其,PRON,dep
純化,VERB,ROOT
，,PUNCT,punct
形成,VERB,conj
電子,ADJ,compound:nn
級矽,NOUN,dobj
。,PUNCT,punct
雖然,SCONJ,advmod
電子,ADJ,amod
級矽,NOUN,nsubj
所,PART,aux:prtmod
含,VERB,acl
的,PART,mark
矽,NOUN,nmod:assmod
的,PART,case
純度,NOUN,nsubj
很,ADV,advmod
高,VERB,dep
，,PUNCT,punct
可,VERB,aux:modal
達,VERB,conj
99,NUM,dep
.,NUM,dobj
9999,NUM,dep
99999,NUM,ROOT
%,PUNCT,mark:clf
，,PUNCT,punct
但是,ADV,advmod
結晶,NOUN,compound:nn
方式,NOUN,nsubj
還,ADV,advmod
是,ADV,advmod
很,ADV,advmod
雜亂,VERB,ROOT
，,PUNCT,punct
又,ADV,advmod
稱為,VERB,conj
多,ADJ,amod
晶矽,NOUN,dobj
，,PUNCT,punct
必須,VERB,aux:modal
重排,VERB,conj
成,VERB,advmod:rcomp
單晶,NOUN,compound:nn
結構,NOUN,dobj
才,ADV,advmod
可,VERB,conj
，,PUNCT,punct
因此,ADV,advmod
再,ADV,advmod
將,X,aux:ba
電子,ADJ,amod
級矽,NOUN,dep
置入,VERB,conj
坩堝,PUNCT,dobj
內加,VERB,conj
溫融化,VERB,conj
，,PUNCT,punct
其,PRON,nsubj
係先,ADV,advmod
將溫,NOUN,aux:ba
度降,PUNCT,punct
低,VERB,conj
至,ADP,case
一,NUM,dep
設,NOUN,compound:nn
定點,NOUN,dobj
，,PUNCT,punct
再,ADV,case
以,ADP,case
一,NUM,nummod
塊,NUM,mark:clf
單晶,NOUN,amod
矽,NOUN,nmod:prep
為,VERB,conj
『,PUNCT,punct
晶種,NOUN,dobj
』,PUNCT,punct
，,PUNCT,punct
置入,VERB,conj
坩,PUNCT,punct
堝內,PART,case
，,PUNCT,ROOT
讓融化,VERB,acl
的,PART,mark
矽沾,VERB,ROOT
附在,VERB,case
晶種,NOUN,ROOT
上,PART,case
，,PUNCT,ROOT
再,ADV,advmod
將,X,aux:ba
晶種,NOUN,dep
以,ADP,case
邊拉,NOUN,compound:nn
邊,ADV,advmod
旋轉,VERB,acl
方式,NOUN,nmod:prep
抽離,VERB,ROOT
坩堝,PUNCT,dobj
，,PUNCT,punct
而,ADV,advmod
沾附,VERB,acl
在,ADP,case
晶種,NOUN,nmod:prep
上,PART,case
的,PART,mark
矽,NOUN,nsubj
亦,ADV,advmod
隨,ADV,advmod
之,ADV,advmod
冷凝,VERB,conj
，,PUNCT,punct
形成,VERB,conj
與,ADP,case
晶種,NOUN,nmod:prep
相同,ADV,advmod
排列,VERB,acl
的,PART,mark
結晶,NOUN,dobj
。,PUNCT,punct
隨著,ADP,case
晶種,NOUN,nmod:assmod
的,PART,case
旋轉,NOUN,nsubj
上升,VERB,nmod:prep
，,PUNCT,punct
沾附,VERB,acl
的,PART,mark
矽愈,ADV,nsubj
多,VERB,ROOT
，,PUNCT,punct
並且,CCONJ,advmod
被,X,auxpass
拉引,VERB,conj
成,VERB,punct
表面,NOUN,nsubj
粗糙,VERB,amod
的,PART,mark
圓柱,NOUN,compound:nn
狀結,NOUN,compound:nn
晶棒,NOUN,dobj
。,PUNCT,punct
其中,NOUN,nmod:topic
，,PUNCT,punct
拉引,VERB,acl
及,VERB,conj
旋轉,VERB,conj
的,PART,mark
速度,NOUN,nsubj
愈慢,VERB,amod
，,PUNCT,punct
則沾附,VERB,acl
的,PART,mark
矽結,NOUN,compound:nn
晶時,NOUN,compound:nn
間,NOUN,nsubj
愈久,VERB,conj
，,PUNCT,punct
結晶棒,NOUN,nmod:assmod
的,PART,case
直徑愈,NOUN,nsubj
大,VERB,conj
，,PUNCT,punct
反之,ADV,advmod
則,ADV,advmod
愈,ADV,advmod
小,VERB,conj
。,PUNCT,ROOT
"
 
",SPACE,ROOT
右圖,NOUN,dep
（,PUNCT,punct
摘自,VERB,parataxis:prnmod
中德,PROPN,compound:nn
公司,NOUN,nmod:assmod
目錄,NOUN,dobj
）,PUNCT,punct
為,VERB,cop
中,PROPN,compound:nn
德,PROPN,compound:nn
電子,NOUN,compound:nn
材料,NOUN,compound:nn
公司,NOUN,nsubj
製作,VERB,acl
的,PART,mark
晶棒,NOUN,ROOT
（,PUNCT,punct
長,NOUN,nsubj
度達,VERB,conj
一,NUM,nmod:range
公尺,NUM,mark:clf
，,PUNCT,punct
重量,NOUN,nsubj
超過,VERB,conj
一百,NUM,nmod:range
公斤,NUM,mark:clf
）,PUNCT,punct
。,PUNCT,punct
"
  
  
",SPACE,ROOT
（,PUNCT,punct
二,NUM,dep
）,PUNCT,punct
切片,NOUN,nsubj
（,PUNCT,punct
SLICING,PUNCT,parataxis:prnmod
）,PUNCT,punct
"
 
",SPACE,punct
從坩,ADP,case
堝,PUNCT,nmod:prep
中,PART,case
拉出,VERB,acl
的,PART,mark
晶柱,NOUN,nsubj
，,PUNCT,punct
表面,NOUN,nsubj
並不,ADV,advmod
平整,VERB,ROOT
，,PUNCT,punct
必須,VERB,aux:modal
經,ADP,case
過工,ADP,case
業級,ADJ,amod
鑽石,NOUN,compound:nn
磨具,NOUN,nmod:assmod
的,PART,case
加工,NOUN,nmod:prep
，,PUNCT,punct
磨成,VERB,conj
平滑,VERB,amod
的,PART,mark
圓柱,NOUN,dobj
，,PUNCT,punct
並切,CCONJ,cc
除頭,VERB,ROOT
尾兩,NOUN,dep
端錐,NOUN,compound:nn
狀段,NOUN,dobj
，,PUNCT,punct
形成,VERB,conj
標準,ADJ,amod
的,PART,case
圓柱,NOUN,dobj
，,PUNCT,punct
被,X,auxpass
切除,VERB,acl
或,CCONJ,cc
磨削,VERB,conj
的,PART,mark
部份,NOUN,nsubj
則,ADV,advmod
回收,VERB,conj
重新,ADV,advmod
冶煉,VERB,conj
。,PUNCT,ROOT
接著,ADV,advmod
再,ADV,advmod
以,ADP,case
高硬度,ADJ,amod
鋸片,NOUN,conj
或,CCONJ,cc
線鋸,NOUN,nmod:prep
將圓,X,aux:ba
柱切,NOUN,dep
成片,VERB,ROOT
狀,PUNCT,punct
的,PART,mark
晶圓,NOUN,ROOT
（,PUNCT,punct
Wafer,PUNCT,parataxis:prnmod
）,PUNCT,punct
（,PUNCT,punct
摘自,VERB,conj
中德,PROPN,compound:nn
公司,NOUN,nmod:assmod
目錄,NOUN,dobj
）,PUNCT,punct
。,PUNCT,ROOT
"   
 
",SPACE,punct
（,PUNCT,punct
三,NUM,dep
）,PUNCT,punct
邊緣,NOUN,dep
研磨,VERB,conj
（,PUNCT,punct
EDGE,PUNCT,dep
－,NOUN,dobj
GR,PUNCT,punct
I,PUNCT,punct
NDING,PUNCT,dep
）,PUNCT,punct
"
 
",SPACE,punct
將片,X,compound:nn
狀晶圓,NOUN,nmod:assmod
的,PART,case
圓周,NOUN,compound:nn
邊緣,NOUN,dep
以,ADP,case
磨具,NOUN,nmod:prep
研磨,VERB,conj
成光滑,VERB,amod
的,PART,mark
圓弧形,NOUN,dobj
，,PUNCT,punct
如此,ADV,advmod
可,VERB,conj
（,PUNCT,punct
1,NUM,dep
）,PUNCT,punct
防止,VERB,conj
邊緣,NOUN,nsubj
崩裂,VERB,ccomp
、,PUNCT,punct
（,PUNCT,punct
2,NUM,dep
）,PUNCT,punct
防止,VERB,dep
在,ADP,case
後續,ADJ,amod
的,PART,case
製程,NOUN,nmod:prep
中,PART,case
產生,VERB,ccomp
熱應,NOUN,compound:nn
力,PUNCT,punct
集中,NOUN,dobj
、,PUNCT,punct
（,PUNCT,punct
3,NUM,dep
）,PUNCT,punct
增加,VERB,dep
未來,ADV,compound:nn
製程,NOUN,compound:nn
中鋪,VERB,case
設光,VERB,dep
阻層,NOUN,conj
或,CCONJ,cc
磊晶層,NOUN,dobj
的,PART,mark
平坦度,NOUN,dobj
。,PUNCT,ROOT
" 
 
",SPACE,punct
（,PUNCT,punct
四,NUM,ROOT
）,PUNCT,punct
研磨,NOUN,ROOT
（,PUNCT,punct
L,PUNCT,parataxis:prnmod
APPING,PUNCT,conj
）,PUNCT,punct
與,CCONJ,cc
蝕刻,NOUN,dobj
（,PUNCT,punct
ETCHING,PUNCT,dep
）,PUNCT,punct
"
 
",SPACE,punct
由於,ADP,case
受過,VERB,nmod:prep
機械,NOUN,nmod:assmod
的,PART,case
切削,NOUN,dobj
，,PUNCT,punct
晶圚,NOUN,compound:nn
表面,NOUN,nsubj
粗糙,VERB,conj
，,PUNCT,punct
凹凸,VERB,conj
不平,VERB,conj
，,PUNCT,punct
及,CCONJ,cc
沾附,VERB,conj
切屑,NOUN,conj
或,CCONJ,cc
污漬,NOUN,dobj
，,PUNCT,punct
因此,ADV,advmod
，,PUNCT,punct
先,ADV,advmod
以,ADP,case
化學,NOUN,compound:nn
溶液,NOUN,dep
（,PUNCT,punct
HF/HNO3,PUNCT,parataxis:prnmod
）,PUNCT,punct
蝕刻,VERB,advcl:loc
（,PUNCT,punct
Etching,PUNCT,dep
）,PUNCT,punct
，,PUNCT,punct
去除,VERB,conj
部份,NUM,dep
切削,NOUN,compound:nn
痕跡,NOUN,dobj
，,PUNCT,punct
再,ADV,advmod
經,ADP,case
去,VERB,acl
離子,NOUN,dobj
純水,NOUN,nmod:prep
沖洗,VERB,compound:vc
吹乾,VERB,conj
後,PART,case
，,PUNCT,punct
進行,VERB,ROOT
表面,NOUN,dobj
研磨,VERB,compound:vc
拋光,VERB,conj
，,PUNCT,punct
使,VERB,conj
晶圓,NOUN,dobj
像,ADP,case
鏡面,NOUN,nmod:prep
樣,ADV,advmod
平滑,VERB,ccomp
，,PUNCT,punct
以利,PART,aux:prtmod
後續,ADJ,amod
製程,NOUN,conj
。,PUNCT,ROOT
"
 
",SPACE,punct
研磨,NOUN,compound:nn
拋光,NOUN,nsubj
是,VERB,cop
以,ADP,case
機械,NOUN,conj
與化,NOUN,cc
學,NOUN,compound:nn
加工,NOUN,compound:nn
方式,NOUN,nmod:prep
同時,ADV,advmod
進行,VERB,ROOT
，,PUNCT,punct
機械,NOUN,compound:nn
加工,NOUN,nsubj
是,VERB,cop
將晶圓,NOUN,dep
放置,VERB,conj
在,ADP,case
研磨,NOUN,nmod:prep
機內,NOUN,case
，,PUNCT,punct
將,X,aux:ba
加工,NOUN,dep
面壓,NOUN,dep
貼,VERB,conj
在,ADP,case
研磨墊,NOUN,nmod:prep
（,PUNCT,punct
Polishing,PUNCT,conj
Pad,PUNCT,dobj
）,PUNCT,punct
磨擦,VERB,conj
，,PUNCT,punct
同,ADV,advmod
時滴,VERB,ROOT
入具,VERB,dep
腐蝕性,NOUN,dobj
的,PART,mark
化學,NOUN,compound:nn
溶劑,NOUN,dobj
當研,NOUN,conj
磨液,NOUN,dobj
，,PUNCT,punct
讓磨,VERB,conj
削與,NOUN,cc
腐蝕,NOUN,dobj
同時,ADV,advmod
產生,VERB,ccomp
。,PUNCT,punct
研磨,VERB,nmod
後,PART,case
的,PART,case
晶圓,NOUN,nsubj
需用,VERB,case
化學,NOUN,compound:nn
溶劑,NOUN,nmod:prep
清除,VERB,ROOT
表面,NOUN,compound:nn
殘留,VERB,acl
的,PART,mark
金屬,NOUN,compound:nn
碎屑,NOUN,conj
或,CCONJ,cc
有機,ADJ,amod
雜質,NOUN,dobj
，,PUNCT,punct
再,ADV,advmod
以,ADP,case
去,VERB,acl
離子,NOUN,dobj
純水,NOUN,nmod:prep
沖洗,VERB,conj
吹乾,VERB,advmod:rcomp
，,PUNCT,punct
準備,VERB,conj
進入,VERB,ccomp
植入,VERB,dobj
電路,NOUN,compound:nn
製程,NOUN,dobj
。,PUNCT,punct
"
 
",SPACE,punct
（,PUNCT,punct
五,NUM,dep
）,PUNCT,punct
退火,VERB,dobj
（,PUNCT,punct
ANNEALING,PUNCT,parataxis:prnmod
）,PUNCT,punct
"
 
",SPACE,punct
將,X,aux:ba
晶片,NOUN,dep
在,ADP,case
嚴格,ADV,advmod
控制,VERB,acl
的,PART,mark
條件,NOUN,nmod:prep
下,PART,case
退火,VERB,conj
，,PUNCT,punct
以,PART,aux:prtmod
使,VERB,conj
晶片,NOUN,nmod:assmod
的,PART,case
阻質,NOUN,dobj
穩定,VERB,ccomp
。,PUNCT,punct
"
 
",SPACE,punct
（,PUNCT,punct
六,PUNCT,punct
）,PUNCT,punct
拋光,VERB,ROOT
（,PUNCT,punct
POLISHING,PUNCT,dep
）,PUNCT,punct
"
 
",SPACE,punct
晶片,NOUN,nsubj
小心翼翼,VERB,advmod:dvp
地,PART,mark
拋光,VERB,ROOT
，,PUNCT,punct
使,VERB,conj
晶片,NOUN,compound:nn
表面光,NOUN,dobj
滑與,CCONJ,cc
平坦,VERB,dep
，,PUNCT,punct
以,PART,dep
利,PUNCT,punct
將來,X,aux:ba
再,ADV,advmod
加工,VERB,conj
。,PUNCT,ROOT
"
 
",SPACE,punct
（,PUNCT,punct
七,NUM,dep
）,PUNCT,punct
洗淨,VERB,ROOT
（,PUNCT,punct
CLEANING,PUNCT,dep
）,PUNCT,punct
"
 
",SPACE,punct
以,ADP,case
多,NUM,dep
步驟,NOUN,nmod:assmod
的,PART,case
高度,ADJ,amod
無,VERB,amod
污染,NOUN,dobj
洗淨,NOUN,compound:nn
程序,NOUN,nmod:prep
，,PUNCT,punct
包括,VERB,dep
各,DET,dep
種,NUM,mark:clf
高度,ADJ,dep
潔淨,VERB,amod
的,PART,mark
清洗,NOUN,dep
液與,NOUN,dobj
超音動,ADJ,amod
處理,NOUN,dobj
，,PUNCT,punct
除去,VERB,conj
晶片,NOUN,compound:nn
表面,NOUN,nmod:assmod
的,PART,case
所有,DET,det
污染,ADJ,amod
物質,NOUN,dobj
，,PUNCT,punct
使,VERB,conj
晶片,NOUN,dobj
達到,VERB,ccomp
可,VERB,aux:modal
進行,VERB,acl
晶片,NOUN,compound:nn
加工,NOUN,dobj
的,PART,mark
狀態,NOUN,dobj
。,PUNCT,ROOT
"
 
",SPACE,punct
（,PUNCT,punct
八,NUM,ROOT
）,PUNCT,punct
檢驗,NOUN,dep
（,PUNCT,punct
IN,PUNCT,parataxis:prnmod
SPECTION,PUNCT,parataxis:prnmod
）,PUNCT,punct
"
 
",SPACE,punct
晶片,NOUN,nsubj
在,ADP,case
無塵,ADJ,amod
環境,NOUN,nmod:prep
中,PART,case
進行,VERB,parataxis:prnmod
嚴格,VERB,amod
的,PART,mark
檢查,NOUN,dobj
，,PUNCT,punct
包括,VERB,conj
表面,NOUN,nmod:assmod
的,PART,case
潔淨度,NOUN,conj
、,PUNCT,punct
平坦度,NOUN,conj
以及,CCONJ,cc
各,DET,det
項,NUM,mark:clf
規格,NOUN,dobj
以確,VERB,parataxis:prnmod
保品,NOUN,parataxis:prnmod
質,NOUN,nsubj
符合,VERB,ccomp
顧客,NOUN,nmod:assmod
的,PART,case
要求,NOUN,dobj
。,PUNCT,ROOT
"
 
",SPACE,punct
（,PUNCT,punct
九,NUM,dep
）,PUNCT,punct
包裝,NOUN,nsubj
（,PUNCT,punct
P,PUNCT,parataxis:prnmod
A,PUNCT,punct
CKING,PUNCT,punct
）,PUNCT,punct
"
    
",SPACE,punct
通過,ADP,acl
檢驗,NOUN,dobj
的,PART,mark
晶片,NOUN,nsubj
以,ADP,case
特殊,ADV,advmod
設計,VERB,acl
的,PART,mark
容器,NOUN,nmod:prep
包裝,VERB,ROOT
，,PUNCT,punct
使,VERB,conj
晶片,NOUN,dobj
維持,VERB,ccomp
無塵,VERB,amod
及,CCONJ,cc
潔淨,VERB,conj
的,PART,mark
狀態,NOUN,dobj
，,PUNCT,punct
該容器,NOUN,punct
並確,ADV,conj
保晶片,NOUN,punct
固定,VERB,ccomp
於,ADP,case
其中,NOUN,nmod:prep
，,PUNCT,punct
以,PART,aux:prtmod
預防,VERB,conj
搬運,NOUN,compound:nn
過程,NOUN,advmod:loc
中,PART,case
發生,VERB,acl
的,PART,mark
振動,NOUN,nsubj
使,VERB,ccomp
晶片,NOUN,dobj
受損,VERB,ccomp
。,PUNCT,ROOT
"
 
",SPACE,punct
三,NUM,dep
、,PUNCT,punct
晶圓,NOUN,compound:nn
處理,NOUN,compound:nn
製程,NOUN,ROOT
" 
  
",SPACE,punct
基本,ADJ,amod
晶圓,NOUN,compound:nn
處理,NOUN,compound:nn
步驟,NOUN,nsubj
通常,ADV,advmod
是,VERB,cop
晶圓,NOUN,nsubj
先,ADV,advmod
經過,VERB,advcl:loc
適當,VERB,amod
的,PART,mark
清洗,NOUN,dobj
（,PUNCT,punct
Cleaning,PUNCT,parataxis:prnmod
）,PUNCT,punct
之後,PART,case
，,PUNCT,punct
送到,VERB,ROOT
熱爐管,NOUN,dobj
（,PUNCT,punct
Furnace,PUNCT,parataxis:prnmod
）,PUNCT,punct
內,PART,case
，,PUNCT,punct
在,ADP,case
含氧,VERB,acl
的,PART,mark
環境,NOUN,dep
中,PART,case
，,PUNCT,punct
以,ADP,case
加熱,VERB,acl
氧化,VERB,dobj
（,PUNCT,punct
Oxidation,PUNCT,parataxis:prnmod
）,PUNCT,punct
的,PART,mark
方式,NOUN,nmod:prep
在,ADP,case
晶圓,NOUN,nmod:assmod
的,PART,case
表面,NOUN,nmod:prep
形成,VERB,conj
一,NUM,nummod
層,NUM,mark:clf
厚約,NOUN,nsubj
數百,NUM,dep
個,NUM,mark:clf
的,PART,mark
二氧化矽,NOUN,compound:nn
（,PUNCT,punct
SiO2,PUNCT,parataxis:prnmod
 ,SPACE,punct
）,PUNCT,punct
層,NOUN,dobj
，,PUNCT,punct
緊接,ADV,advmod
著厚,NOUN,advmod
約,ADV,advmod
1000,NUM,dep
到,CCONJ,cc
2000,NUM,dep
的,PART,mark
氮化矽,NOUN,compound:nn
（,PUNCT,punct
Si3N4,PUNCT,parataxis:prnmod
）,PUNCT,punct
層將,ADV,advmod
以,ADP,case
化學,NOUN,compound:nn
氣相,NOUN,compound:nn
沈積,NOUN,nmod:assmod
（,PUNCT,punct
Chemical,PUNCT,dep
Vapor,PUNCT,case
Deposition,PUNCT,dobj
；,PUNCT,punct
CVP,PUNCT,dep
）,PUNCT,punct
的,PART,case
方式,NOUN,nmod:prep
沈積,VERB,conj
（,PUNCT,punct
Deposition,PUNCT,parataxis:prnmod
）,PUNCT,punct
在,ADP,case
剛剛,ADV,advmod
長成,VERB,acl
的,PART,mark
二氧化矽,NOUN,ROOT
上,PART,case
，,PUNCT,ROOT
然後,ADV,advmod
整個,DET,det
晶圓,NOUN,nsubj
將,ADV,advmod
進行,VERB,ROOT
微影,NOUN,nmod:assmod
（,PUNCT,punct
Lithography,PUNCT,parataxis:prnmod
）,PUNCT,punct
的,PART,case
製程,NOUN,dobj
，,PUNCT,punct
先,ADV,advmod
在,ADP,case
晶圓,NOUN,nmod:prep
上上,PART,conj
一,NUM,nummod
層,NUM,mark:clf
光阻,NOUN,dobj
（,PUNCT,punct
Photo,PUNCT,compound:nn
resist,NOUN,parataxis:prnmod
）,PUNCT,punct
，,PUNCT,punct
再,ADV,advmod
將,X,aux:ba
