Entity,EntityIndex,Relation,RelationIndex
"['大量', '表面', '技術之需求']","[1, 7, 11]","['適合', '生產', '滿足', '黏著']","[0, 2, 6, 8]"
['腳數'],[7],"['提供', '高', '輸出']","[2, 3, 4]"
"['航天、軍事', '產品', '陶瓷構裝之必要性']","[5, 7, 14]","['有', '使用']","[9, 10]"
"['打線', '', '卷帶式', '', '覆晶', '技術']","[3, 6, 8, 12, 14, 18]","['為', '接合', '自動', '接合', '接合']","[1, 4, 9, 10, 15]"
"['此技術', '晶片', '導線架上']","[1, 4, 8]",['固定'],[5]
"['打線', '技術', '挑戰']","[0, 2, 5]","['接合', '受到']","[1, 4]"
"['之', '機具、設備及', '技術']","[3, 10, 12]","['配合', '相關', '成熟']","[5, 11, 16]"
"['短期內', '技術', '技術所']","[2, 5, 15]","['打線', '接合', '似', '容易', '為']","[3, 4, 6, 11, 12]"
"['晶片', '高分子卷帶上的金屬電路']","[4, 11]",['連接'],[13]
"['卷帶式', '厚度', '接腳間距', '入接腳數', '優點']","[0, 4, 8, 16, 18]","['自動', '接合', '具有', '薄', '小', '提供', '高', '輸出']","[1, 2, 3, 5, 9, 12, 13, 14]"
"['覆晶', '連接度', '電器特性', '入接點密度']","[0, 6, 10, 16]","['接合', '具有', '短', '高', '輸出']","[1, 2, 4, 12, 13]"
"['電子', '技術']","[1, 4]","['製造', '發展', '演進']","[2, 6, 7]"
"['晶片', '', '', '', '', '功能', '要求下']","[2, 5, 7, 9, 11, 13, 17]","['輕', '薄', '短', '小', '高']","[4, 6, 8, 10, 12]"
"['構裝之目', '四種', '）', '傳送', '訊號', '（', '', '所有', '產品', '「', '」為能源']","[3, 8, 12, 14, 18, 20, 24, 31, 33, 36, 40]","['有', '（', '3', '（', '）', '皆']","[5, 15, 21, 26, 28, 34]"
"['構', '晶片', '機械強度及', '保護']","[1, 6, 13, 16]","['裝除', '易碎', '提供', '足夠', '適當']","[2, 4, 7, 9, 14]"
"['產品', '外表', '使用者', '使用及', '操作環境']","[4, 9, 12, 18, 22]","['具有', '優雅', '美觀', '為', '提供', '安全', '簡便']","[5, 6, 7, 11, 13, 15, 19]"
"['其步驟', '晶片切割', '黏晶', '', '（', '', '（', '', '（', '', '（', '', '（', '', '（']","[1, 5, 10, 16, 18, 21, 23, 26, 30, 33, 35, 38, 40, 43, 45]","['為', '/']","[3, 28]"
"['以下', '序對構', '製程之各個步驟', '晶片', '', '', '一顆顆', '（die']","[0, 3, 9, 20, 22, 30, 34, 37]","['裝', '做', '說明', '切割', '晶圓', '）', '切割']","[4, 10, 12, 21, 31, 38, 39]"
"['晶片', '機上']","[3, 6]","['送至', '切割', '進行', '切割']","[2, 4, 7, 8]"
"['封膠', '', '為', '由', '', '機械', '內部', '熱量之去除及提供', '']","[0, 5, 8, 11, 14, 16, 21, 27, 30]","['侵入', '方式', '產生', '', '手持', '形體']","[13, 17, 22, 26, 29, 31]"
"['其過程', '導線', '框架上']","[1, 4, 8]","['為', '架置', '預熱']","[2, 5, 10]"
"['檢驗', '', '為', '製程', '晶圓', '檢驗之目的', '確定', '完成', '是否']","[0, 6, 8, 11, 15, 21, 23, 26, 28]","['將', '上', '一顆顆', '', '產品', '合於']","[9, 16, 17, 26, 27, 29]"
"['其中項目', '外引腳之平整性、共面度、腳距、印字', '', '是', '等', '檢驗']","[1, 13, 17, 19, 24, 26]","['包括', '', '損傷']","[2, 17, 22]"
"['我們', '兩個指標研判行業', '過程']","[0, 9, 11]","['結合', '上述']","[2, 3]"
"['市場', '機會']","[4, 6]",[],[]
"['產業未來', '~', '個', '行業儘管在', '影響下上行過程', '延遲']","[1, 3, 5, 9, 15, 17]",['受到'],[16]
"['核心推動力', '定律的集成度', '晶 圓', '投資規模']","[1, 7, 10, 14]","['來自於', '基於', '提升', '使得', '加工', '增大']","[2, 3, 8, 9, 11, 16]"
"['晶圓', '新建廠房', '工藝', '']","[1, 4, 7, 10]","['代工', '追求', '先進', '需', '持續', '增加']","[2, 5, 6, 9, 12, 13]"
"['我們', '工藝', '', '國際持續', '']","[0, 3, 7, 12, 14]","['認為', '先進', '追求', '']","[1, 2, 13, 14]"
"['➢ ', '機會', '行業周期', '中', '時點']","[0, 2, 5, 7, 11]","['投資', '上行', '選擇', '合適']","[1, 6, 8, 9]"
"['我們', '晶圓代工基本面信息', '資本市場資金面情況變化的結果']","[0, 6, 14]","['研究', '結合']","[1, 7]"
"['市場', '10 年', '內由晶圓', '產業所顯示']","[1, 4, 8, 12]","['景氣', '周期']","[14, 15]"
"['我們', '晶圓代工', '存儲器數據', '行業周期', '劃分']","[0, 3, 6, 9, 11]","['結合', '進行']","[1, 10]"
"['電路設計', '晶圓', '兩', '環節']","[1, 3, 5, 8]",['加工'],[4]
"['我們', '發展歷程']","[1, 7]",['觀察'],[3]
"['晶圓代工', '模式', '接近傳統製造業', '投入', '較', '', '投入']","[2, 5, 11, 14, 17, 19, 24]","['上', '高', '資本', '相對', '高', '人員', '成']","[6, 12, 13, 16, 18, 20, 22]"
"['科技企業', '研發投入', '資產規模']","[3, 9, 13]","['相對', '高', '無形']","[4, 6, 11]"
"['', '晶圓', '模式首先解決', '資金的問題']","[1, 5, 10, 16]",['是'],[11]
"['半導體', '這種體量的廠商']","[6, 12]",['超微'],[5]
"['創型公司', '一個', '', '來', '設計', '']","[3, 6, 9, 11, 15, 17]","['提供', '靈便', '在', '方面']","[4, 8, 13, 16]"
"['我們', '半導體行業的周期性波動', '發展', '正面的推動作用']","[0, 7, 11, 19]","['觀察到', '起', '到']","[2, 13, 14]"
"['晶圓', '', '技術標準能夠', '', '設計', '']","[0, 3, 7, 11, 14, 16]","['廠商', '範圍', '晶元', '公司']","[2, 10, 13, 15]"
"['趨勢中', '定位', '另一方面']","[5, 9, 13]","['化', '獲得']","[2, 6]"
"['我們', '系列報告', '一', '中', '產業周期', '驅動', '+', '」', '']","[1, 4, 6, 8, 12, 16, 21, 23, 25]","['提', '有', '供給']","[9, 13, 15]"
"['半導體產業', '晶圓代工', ' 裝測試', '產業鏈中的地位', '者的選擇']","[2, 6, 10, 17, 24]","['鍾情', '封', '擴大', '處於', '新', '進入']","[3, 8, 12, 19, 20, 21]"
"['~', ' 年間']","[2, 5]",[],[]
"['我們', '部分廠商外']","[1, 7]",['上述'],[2]
"['', '', '', '', '', '上做出', '調整']","[2, 4, 6, 8, 10, 17, 20]","['包括', '了']","[0, 18]"
[],[],"['沒有', '相關', '業務']","[1, 4, 5]"
"['我們', '個參考來']","[0, 8]",['一'],[5]
"['一段時間內', '晶圓', '支持']","[5, 12, 14]","['制於', '沒有', '有效']","[7, 8, 10]"
"['我們', '前一', '報告中提到']","[1, 4, 9]","['考慮', '']","[0, 9]"
"['上述統計中', '', '', '晶圓', '和封裝', '能力又將', '產品通過外包', '']","[3, 6, 8, 15, 18, 22, 27, 29]","['', '生產', '廠商']","[14, 28, 30]"
"['系列報告', '中', '產業周期的變革']","[6, 8, 13]",['解釋'],[3]
"['地區', '內', '半導體銷售收入規模', '整體而言', '地區']","[1, 7, 13, 17, 20]","['包括', '速度', '高於', '其他']","[4, 15, 18, 19]"
"['晶圓', '影響', '分工后']","[0, 6, 9]","['代工', '興起', '深遠', '在於', '全球化']","[1, 2, 4, 7, 8]"
"['晶圓', '行業', '方向發展']","[0, 2, 9]","['代工', '細分']","[1, 7]"
"['代表', '先進位程', '高額的資本', '目前僅', '', '仍然', '不', '']","[4, 7, 11, 14, 17, 22, 25, 27]","['為', '追求', '台積電', '']","[2, 5, 16, 27]"
"['晶 圓', '業務模式', '積極地的意義']","[2, 5, 10]","['代工', '有']","[3, 6]"
"['我們', '前的敘述中', '後']","[0, 5, 11]",['闡述'],[7]
"['布局', '我們', '認為其', '「', '）']","[9, 11, 14, 16, 26]","['先進', '位程', '', '為', '放緩', '而', '放', '」']","[6, 7, 8, 15, 17, 19, 23, 25]"
"['後', '到', '第二']","[0, 2, 5]",['階段'],[6]
"['半導體', '三星電子在', '宣布', '其', '部門從系統LSI', '獨立']","[2, 6, 9, 11, 17, 19]",['代工'],[12]
"['半導體', '代工則', '內不', '']","[2, 5, 9, 12]","['推進', '行業', '']","[1, 7, 12]"
"['晶圓', '業務']","[6, 8]","['高調', '宣布', '擴張']","[3, 4, 5]"
"['晶圓', '外', '其他業務']","[3, 5, 9]","['代工', '有']","[4, 7]"
"['市場競爭', '中我們了解到', '', '投資']","[3, 13, 16, 26]","['細', '分', '步步', '為', '營', '以', '了', '先進']","[0, 1, 4, 5, 6, 14, 22, 23]"
"['位程轉向', '市場', '也']","[3, 6, 8]",['細分'],[4]
"['我們', '定律微指導尺寸', '半 導體工藝', '特色工藝']","[0, 7, 11, 15]","['縮小', '稱為']","[8, 12]"
"['', '電路和', '器件三個領域佔', '市場', '接近']","[2, 5, 11, 14, 16]","['包括', '整體', '50']","[0, 12, 17]"
"['模擬器件', '功率器件', '業務的廠商', '研發', '開支方面', '使', '在', '等', '上低於', '器件Fabless']","[3, 7, 13, 15, 21, 24, 26, 28, 31, 35]","['為', '投入', '其', '邏輯']","[9, 16, 25, 32]"
"['更多', '製造', '環節外包', '選擇']","[1, 4, 11, 15]","['生產', '易於', '標準', '化', '成為', '合理']","[3, 6, 7, 8, 12, 13]"
"['我們', '代工廠商世界先進和', '代工廠商華虹半導體', '變化為例']","[0, 8, 15, 18]",['觀察'],[1]
"['我們', '華虹半導體的發展歷程']","[0, 7]",['觀察'],[2]
"['資本方面', '資 源', '方面', '規模的支持']","[2, 4, 6, 14]","['投入', '有', '大']","[5, 9, 11]"
"['', '工藝', '廠商', '一家']","[3, 6, 9, 16]","['持續', '不斷', '進行', '先進', '開發', '剩下']","[1, 2, 4, 5, 7, 12]"
"['晶圓', '規模']","[1, 4]","['代工', '持續', '做', '大']","[2, 5, 6, 7]"
"['客戶', '下', '產品', '需要', '-', ' 月不', '']","[0, 2, 4, 6, 8, 11, 13]","['單到', '交付', '']","[3, 5, 13]"
"['我們', '', '隨著晶圓', '', '日趨增加']","[0, 5, 8, 10, 14]","['觀察', '進入', '到', '市場']","[1, 2, 3, 11]"
"['我們', '數據']","[0, 6]",[],[]
"['中芯國際', '半導體廠商的代錶廠商']","[2, 9]","['增加', '作為']","[0, 3]"
"['存儲器的價格波動作', '行業的前瞻性指標預測行業的未來', '變動']","[4, 13, 15]","['採用', '為', '趨勢']","[0, 5, 16]"
"['本報告中我們', '晶圓代工廠商的收入規模波動作', '指標', '預測']","[5, 15, 17, 19]","['採用', '為', '進行']","[7, 16, 18]"
"['我們', '其', '觀察']","[1, 3, 6]",['結合'],[4]
"['我們', '兩者數據', '一些', '行業指引作用的信息']","[0, 4, 8, 14]","['疊加', '獲得']","[5, 7]"
"['我們', '邏輯', '', '代工廠商月度營收增速顯示', '需求', '過程']","[1, 3, 9, 16, 20, 22]",['了'],[17]
"['個部分進行', '）', '市場', '變動情況（', '收益率來表徵']","[4, 7, 11, 15, 20]","['兩', '：', '資本', '國債', '）']","[1, 5, 9, 17, 21]"
"['一', '標杆指引', '美股', '', '我們', '上', '篇報告中關於行業', '波動和資本', '資金面變動趨勢來研究', '機 會']","[1, 6, 9, 12, 14, 16, 22, 26, 32, 35]","['一', '投資']","[17, 34]"
"['我們', '資本市場', '投資']","[0, 6, 13]",['研究'],[3]
"['市場', ' 年期國債收益率', '其指數（', '', '500']","[1, 8, 14, 17, 19]","['選取', '2']","[3, 4]"
"['我們', '行業', '個', '波動（第一', '和最後', '個周期屬於', '完整']","[0, 3, 7, 11, 14, 18, 20]","['認為', '經歷', '周期']","[2, 4, 21]"
"['價格', '行業周期', '1', '營收規模', '趨勢']","[2, 7, 10, 13, 16]","['變動', '劃分', '為', '擴張']","[3, 4, 8, 15]"
"['主要', '市場', '走勢預期']","[1, 5, 8]",['美股'],[3]
"['我們', '國債收益率曲線月度波動作', '資金', '指標']","[0, 7, 9, 12]","['增加', '為', '面', '鬆緊']","[2, 8, 10, 11]"
"['資金狀況', '行業市場', '我們']","[4, 8, 11]","['增加', '考慮', '影響', '認為']","[1, 2, 10, 12]"
"['市場', '情況下']","[2, 6]",['趨弱'],[3]
"['我們', '月度', '收益率的概率', '行業狀況', '資金條 件下']","[0, 4, 8, 15, 19]","['考慮', '超額', '尋找', '不同']","[2, 5, 10, 12]"
"['我們', '方式', '國內A', '走勢']","[0, 4, 7, 11]","['採取', '同樣', '研究']","[1, 2, 5]"
"['我們', '資金面影響下', '變化']","[0, 6, 8]",['考慮'],[2]
"['', '市場', '觀察方法研究區間', '收益情況', '收益率', '看']","[1, 3, 9, 12, 16, 18]","['採用', '類似', '超額']","[0, 4, 10]"
"['資金', '影響', '我們', '時間', '上', '下半年後資金', '於', '超額收益率的影響', '加大']","[3, 6, 8, 11, 13, 17, 19, 25, 27]","['考慮', '面', '認為', '劃分', '行業', '']","[1, 4, 9, 12, 20, 24]"
"['其核心邏輯', '本報告中', '晶圓', '廠商波動', '整體需求']","[2, 6, 8, 11, 17]","['能夠', '行業']","[12, 14]"
"['我們', '存儲器行業產 品價格波動作', '行業', '指標']","[0, 6, 8, 10]",['為'],[7]
"['此處我們', '投資機會']","[2, 6]","['進行', '探尋']","[7, 8]"
"['我們', '變數指標', '月度收入', '', '', '', '']","[0, 4, 8, 10, 12, 14, 17]","['研究', '增速']","[1, 9]"
"['市場', '確定性', '下']","[1, 6, 8]","['處於', '好']","[2, 4]"
"['半導體板塊的投資', '市場', '認可']","[3, 5, 8]",['獲得'],[4]
"['其他', '收益']","[0, 4]","['為', '負']","[2, 3]"
"['報告原文', '面對', '市場', '']","[2, 6, 10, 12]","['詳見', '於']","[0, 7]"
"['我們', '行業整體處於', ' 行', '中']","[0, 6, 8, 10]","['認為', '上', '過程']","[1, 7, 9]"
"['代表的晶圓代工', '月度營收', '存儲器價格', '行業', '上行 的趨勢']","[6, 10, 14, 18, 23]","['製造', '變動', '顯示', '具備']","[7, 15, 17, 19]"
"['我們', '行業', '復甦期', '擴張期']","[0, 2, 7, 10]","['認為', '進入', '到']","[1, 8, 9]"
"['我們', '行業未來', '-', '個', '投資', '保持樂觀']","[0, 3, 5, 7, 10, 13]",[],[]
"['我們', '兩個方向', '1', '晶圓代工子版塊', '國際', '0981', '', '層面', '支持']","[0, 4, 9, 13, 16, 18, 25, 28, 30]","['分', '進行', '投資', '推薦', '資本']","[1, 5, 6, 7, 24]"
"['我們', '前期的觀點']","[0, 5]",['堅持'],[2]
"['我們', '行業龍頭廠商長電科技', '600584']","[1, 6, 8]",['推薦'],[2]
"['我們', '標', '華虹半導體、華潤微']","[0, 3, 8]","['建議', '關注', '包括']","[1, 2, 4]"
"['設計', '封裝、', '晶圓半成品']","[3, 7, 19]","['製造', '測試', '銷售', '包辦', '製作成']","[4, 8, 11, 14, 16]"
"['測試後之成品', '銷售管道', '系統廠商', '系統產品']","[3, 7, 10, 15]","['售予', '裝配', '生產', '成為']","[8, 11, 12, 13]"
"['各公司', '', '種類']","[1, 4, 6]","['提供', '太多']","[3, 7]"
['公司'],[7],"['產生', '專門', '從事', '設計']","[1, 2, 3, 5]"
"['一片晶片的功能', '邏輯', '晶圓', '流程']","[7, 9, 12, 15]","['設計', '設計']","[10, 13]"
"['資源', '本土半導體產業']","[2, 6]","['投入', '扶植']","[0, 3]"
"['5', '後', '產業', '產業', '威脅']","[0, 3, 7, 15, 17]","['興起', '設計', '設計', '造成']","[2, 6, 14, 16]"
['肺炎疫情'],[4],"['歷經', '新', '冠']","[0, 1, 2]"
"['平板電腦、伺服器、電視與', '需求']","[10, 12]","['電競', '成長', '受惠']","[11, 13, 15]"
"['其5', '產品', '布局', '5', '手機滲透率']","[1, 3, 6, 8, 11]","['完整', '上升']","[4, 13]"
"['民眾', '科技需求', '家', '遠距教學', '需求', '下']","[0, 4, 7, 11, 15, 19]","['上班', '相關', '持續', '存在']","[8, 14, 17, 18]"
"['5', '', '運算與新興物聯網需求']","[1, 3, 9]","['相關', '高速']","[0, 4]"
"['8吋與12吋', '產能']","[5, 7]","['相關', '接近', '滿載']","[6, 9, 10]"
"['晶圓', '龍頭', '製程', '產能外']","[1, 3, 8, 12]","['代工', '持續', '先進', '邁進', '擴']","[2, 4, 7, 9, 10]"
"['產能投資', '12吋廠']","[3, 7]","['新', '為主']","[1, 8]"
['12吋廠聯芯產能'],[7],"['包括', '擴增']","[0, 1]"
"['廠區', '設備', '40奈米', '28奈米']","[1, 6, 10, 14]","['增加', '新', '投資', '加快', '轉換']","[4, 5, 7, 8, 11]"
"['2020年', '', '家工作', '應用需求']","[0, 4, 7, 10]","['包括', '遠距', '教學', '成長']","[1, 2, 3, 12]"
"['控制晶片', '產能']","[2, 5]","['生產', '不足']","[3, 6]"
"['中', '容量的記憶體模組']","[3, 8]","['影響', '低', '供貨', '吃緊']","[2, 4, 9, 10]"
"['市場', '2021年', '', '', '運算', '需求']","[1, 3, 5, 7, 10, 12]","['高速', '持續', '看好']","[9, 13, 14]"
"['需求', '下']","[4, 7]","['相關', '持續', '增加']","[2, 5, 6]"
['高壓產品'],[1],"['開始', '進行', '漲價']","[3, 4, 5]"
"['智慧型手機、筆電', '產品', '驅動', '需求']","[4, 6, 8, 10]",['增加'],[11]
"['2020年第4季', '中', '封測價格']","[1, 4, 9]","['調漲', '驅動']","[3, 6]"
"['2020年全球5G', '效能運算需求']","[3, 7]","['高', '浮現']","[4, 8]"
"['貿易戰', '肺炎疫情影響']","[4, 9]","['受惠於', '新', '冠']","[1, 5, 6]"
"['半導體', '預期']","[1, 4]","['成長', '超乎']","[2, 3]"
"['半導體產業', '2020上半年', '疫情', '半導體', '供應鏈']","[2, 5, 8, 11, 13]","['影響', '相關']","[10, 12]"
"['宅經濟、零', '後疫情時代']","[3, 9]","['接觸', '成為', '新', '常態']","[4, 5, 10, 11]"
"['2021年', '', '人工智慧', '效能運算與物聯網', '應用']","[1, 3, 7, 12, 15]","['展望', '高', '推展']","[0, 8, 17]"
"['半導體', '廠商', '製程國際競爭優勢']","[2, 4, 9]",['領導'],[3]
"['圖', '柴氏法成長單 晶示意圖']","[0, 6]",[],[]
"['目前矽單晶', '技術']","[2, 4]","['成長', '成熟']","[3, 7]"
"['晶片', '機  械研磨及化學']","[3, 10]","['切割', '好', '侵蝕']","[0, 1, 11]"
"['表面', '鏡']","[1, 6]","['磨', '滑']","[2, 4]"
"['其製程溫度', '難度']","[3, 7]","['高', '高']","[5, 9]"
"['矽晶上', '二氧化矽絕緣層']","[4, 9]","['為', '成長']","[1, 5]"
['有機溶劑'],[2],"['清洗', '掉']","[3, 4]"
"['蝕刻', '圖形', '步驟']","[0, 2, 5]","['形成', '為']","[1, 3]"
"['雜質的方法', '法及離子', '法']","[3, 8, 10]","['摻入', '包括', '擴散', '佈植']","[0, 4, 5, 9]"
"['能量離子', '矽晶表面晶體結構']","[3, 10]","['高', '破壞']","[1, 6]"
