Segmented Element,POS,Dependecies
.,NUM,dep
5％,NUM,nummod
的,PART,case
光子,NOUN,compound:nn
偵測,NOUN,compound:nn
效率,NOUN,dobj
（,PUNCT,punct
PDE,PUNCT,parataxis:prnmod
）,PUNCT,punct
。,PUNCT,ROOT
SiPM,PUNCT,nmod:assmod
的,PART,case
高內部,NOUN,compound:nn
增益,NOUN,nsubj
使,VERB,ROOT
其靈,NOUN,compound:nn
敏度,NOUN,dobj
可,VERB,aux:modal
達到,VERB,ccomp
單光子,NOUN,compound:nn
水準,NOUN,dobj
，,PUNCT,punct
該,DET,det
功能,NOUN,nsubj
與高PD,ADP,case
E,PUNCT,nmod:prep
結合,VERB,conj
使用,VERB,compound:vc
，,PUNCT,punct
可以,VERB,aux:modal
檢測,VERB,conj
最,ADV,advmod
微弱,VERB,amod
的,PART,case
返回,NOUN,compound:nn
信號,NOUN,dobj
。,PUNCT,punct
因此,ADV,advmod
，,PUNCT,punct
即使,SCONJ,advmod
是,VERB,cop
低,ADJ,amod
反射,ADJ,compound:nn
目標,NOUN,dep
，,PUNCT,punct
也,ADV,advmod
能,VERB,aux:modal
偵測,VERB,ROOT
到,VERB,advmod:rcomp
更,ADV,advmod
遠,VERB,amod
的,PART,mark
距離,NOUN,dobj
。,PUNCT,punct
此外,ADV,advmod
，,PUNCT,punct
該,DET,det
產品,NOUN,nsubj
符合,VERB,ROOT
AEC,PUNCT,ROOT
-,PROPN,nsubjpass
Q,PUNCT,name
102,PUNCT,punct
（,PUNCT,punct
國際,NOUN,compound:nn
汽車,NOUN,compound:nn
電子,NOUN,compound:nn
協會,NOUN,parataxis:prnmod
）,PUNCT,punct
和,CCONJ,cc
按照,ADP,case
IATF,PUNCT,punct
16949,NUM,dep
（,PUNCT,punct
國際,NOUN,compound:nn
汽車,NOUN,compound:nn
推動,NOUN,compound:nn
小組,NOUN,parataxis:prnmod
）,PUNCT,punct
的,PART,case
技術,NOUN,compound:nn
規範,NOUN,dobj
開發,VERB,conj
。,PUNCT,ROOT
"

",SPACE,ROOT
SiPM,PUNCT,punct
技術,NOUN,nsubj
近年,NOUN,nmod:tmod
來,ADV,advmod
蓬勃,ADV,advmod
發展,VERB,ROOT
，,PUNCT,punct
由於,ADP,case
其,PRON,compound:nn
獨特,VERB,amod
的,PART,mark
功能,NOUN,compound:nn
組,NOUN,nmod:prep
，,PUNCT,punct
已,ADV,advmod
成,VERB,conj
為廣,VERB,ROOT
大,ADJ,amod
市場,NOUN,compound:nn
深度,ADJ,amod
感測,NOUN,compound:nn
應用,NOUN,nmod:assmod
的,PART,case
首選,ADJ,amod
感測器,NOUN,dobj
。,PUNCT,ROOT
SiPM,PUNCT,nsubj
能,VERB,aux:modal
在,ADP,case
明亮,VERB,amod
的,PART,mark
陽光,NOUN,compound:nn
條件,NOUN,nmod:prep
下,PART,case
進行,VERB,advcl:loc
長距,ADJ,amod
離測,NOUN,dobj
距時,PART,case
提供,VERB,ROOT
最佳,VERB,amod
的,PART,mark
訊噪,NOUN,compound:nn
比,NOUN,compound:nn
性能,NOUN,dobj
。,PUNCT,punct
其他,DET,det
優勢,NOUN,nsubj
包括,VERB,ROOT
較低,ADV,amod
的,PART,mark
電源,NOUN,compound:nn
偏置,NOUN,conj
和,CCONJ,cc
較低,ADV,amod
的,PART,case
溫度,NOUN,compound:nn
變化,NOUN,compound:nn
敏感性,NOUN,dobj
，,PUNCT,punct
使,VERB,conj
其,PRON,dobj
成為,VERB,ccomp
使用,VERB,acl
傳統,ADJ,amod
雪崩,ADJ,amod
光電,NOUN,compound:nn
二極體,NOUN,dobj
（,PUNCT,punct
APD,PUNCT,parataxis:prnmod
）,PUNCT,punct
的,PART,mark
系統,NOUN,dobj
的,PART,mark
理想,ADJ,amod
升級,NOUN,compound:nn
產品,NOUN,dobj
。,PUNCT,punct
SiPM,PUNCT,nsubj
採用,VERB,ROOT
大批量,NUM,dep
CMOS,PUNCT,compound:nn
製程,NOUN,dobj
生產,VERB,conj
，,PUNCT,punct
可,VERB,aux:modal
實現,VERB,conj
最低,ADV,amod
的,PART,case
偵測器,NOUN,compound:nn
成本,NOUN,dobj
，,PUNCT,punct
從,ADV,advmod
而,ADV,advmod
實現,VERB,conj
應用,VERB,acl
於廣,ADJ,case
大,ADJ,amod
市場,NOUN,nmod:prep
的,PART,mark
LiDA,PUNCT,compound:nn
R,PUNCT,compound:nn
方案,NOUN,dobj
。,PUNCT,ROOT
"

",SPACE,ROOT
使用,VERB,acl
激光,NOUN,dobj
測量,VERB,conj
物體,NOUN,dobj
的,PART,mark
距離,NOUN,nsubj
已,ADV,advmod
跨越,VERB,ROOT
了,PART,aux:asp
汽車,NOUN,conj
、,PUNCT,punct
消費,NOUN,conj
和,CCONJ,cc
工業,NOUN,compound:nn
應用,NOUN,compound:nn
領域,NOUN,dobj
。,PUNCT,punct
在,ADP,case
汽車,NOUN,compound:nn
領域,NOUN,nmod:prep
，,PUNCT,punct
LiDA,PUNCT,nsubj
R,PUNCT,nsubj
可,VERB,aux:modal
用於,VERB,ROOT
提升,VERB,ccomp
安全性,NOUN,conj
和,CCONJ,cc
駕駛,NOUN,compound:nn
輔助,NOUN,compound:nn
系統,NOUN,dobj
（,PUNCT,punct
ADAS,PUNCT,punct
）,PUNCT,punct
，,PUNCT,punct
通過,ADP,case
與,ADP,case
其他,DET,det
感知,NOUN,compound:nn
模式,NOUN,nmod:prep
互補,VERB,nmod:prep
和,CCONJ,cc
提供,VERB,conj
冗餘,NOUN,dobj
，,PUNCT,punct
輔助,VERB,conj
如,ADV,advmod
車道,NOUN,compound:nn
保持,NOUN,conj
和,CCONJ,cc
交通,NOUN,compound:nn
擁堵,NOUN,compound:nn
輔助,NOUN,compound:nn
等,PART,etc
功能,NOUN,dobj
。,PUNCT,punct
LiDA,PUNCT,ROOT
R,PUNCT,nsubj
正,ADV,advmod
普遍,ADV,advmod
用於,VERB,ROOT
全,ADJ,advmod
自動,ADJ,amod
駕駛,NOUN,nmod:assmod
的,PART,case
使用,NOUN,compound:nn
案例,NOUN,nmod:prep
，,PUNCT,punct
例如,ADV,advmod
機器人,NOUN,compound:nn
運輸,NOUN,parataxis:prnmod
，,PUNCT,punct
以,PART,aux:prtmod
安全,VERB,advmod:dvp
地,PART,mark
實時,ADV,advmod
導航,VERB,conj
環境,NOUN,dobj
。,PUNCT,punct
受益,VERB,conj
於,VERB,dep
Array,PUNCT,dobj
RDM,PUNCT,nmod:assmod
-,NOUN,compound:nn
0112A20,PUNCT,nmod:assmod
-,NOUN,dobj
Q,PUNCT,dep
FN,PUNCT,punct
的,PART,case
高PDE,NOUN,dep
，,PUNCT,punct
支持,VERB,acl
這些,DET,det
功能,NOUN,dobj
的,PART,mark
LiDA,PUNCT,compound:nn
R系統,NOUN,nsubj
已,ADV,advmod
被,X,auxpass
證明,VERB,ROOT
可,VERB,aux:modal
在,ADP,case
300,NUM,nmod
米,NUM,mark:clf
以上,PART,case
的,PART,case
距離,NOUN,nmod:prep
測距,VERB,ccomp
。,PUNCT,punct
更,ADV,advmod
遠,VERB,amod
的,PART,mark
距離,NOUN,nsubj
使,VERB,ROOT
車輛,NOUN,dobj
有,VERB,ccomp
更,ADV,advmod
多,NUM,dep
時間,NOUN,dobj
來應,VERB,conj
對意,VERB,punct
外障,NOUN,amod
礙,NOUN,dobj
。,PUNCT,ROOT
"

",SPACE,ROOT
安森,PROPN,compound:nn
美半,PROPN,compound:nn
導體,NOUN,compound:nn
汽車,NOUN,compound:nn
感測部,NOUN,compound:nn
門資,NOUN,compound:nn
深總,ADJ,amod
監Wade,NOUN,nsubj
Appelman,PUNCT,punct
表示,VERB,ROOT
",",PUNCT,punct
LiDA,PUNCT,nsubj
R,PUNCT,nsubj
提供,VERB,acl
的,PART,mark
高解,ADJ,compound:nn
析度,NOUN,compound:nn
深度,NOUN,compound:nn
數據,NOUN,nsubj
可,VERB,aux:modal
在,ADP,case
充滿,VERB,acl
挑戰,NOUN,dobj
的,PART,mark
微光,NOUN,compound:nn
條件,NOUN,nmod:prep
下,PART,case
即時,ADV,advmod
準確,VERB,advmod:dvp
地,PART,mark
識別,VERB,ccomp
物體,NOUN,dobj
。,PUNCT,punct
Array,PUNCT,ROOT
RDM,PUNCT,ROOT
-,NOUN,compound:nn
0112A20,PUNCT,punct
-,NOUN,nsubj
Q,PUNCT,appos
FN,PUNCT,nsubj
是,VERB,cop
首款,NUM,dep
符合,VERB,acl
車規,NOUN,dobj
的,PART,mark
SiPM,PUNCT,ROOT
，,PUNCT,punct
將,ADV,advmod
提供,VERB,conj
遠,ADJ,amod
距離,NOUN,conj
、,PUNCT,punct
高性,ADJ,amod
價比,NOUN,nmod:assmod
的,PART,case
LiDA,PUNCT,nmod:assmod
R,PUNCT,compound:nn
方案,NOUN,dobj
，,PUNCT,punct
以,PART,aux:prtmod
實現,VERB,conj
下,DET,det
一,NUM,dep
層,NOUN,mark:clf
次,NOUN,nmod:assmod
的,PART,case
安全,NOUN,conj
和,CCONJ,cc
自主性,NOUN,dobj
。,PUNCT,punct
我,PRON,nsubj
們,PRON,nsubj
正,ADV,advmod
不,ADV,advmod
斷,ADV,advmod
加強,VERB,ROOT
我,PRON,dep
們,PRON,nmod:assmod
的,PART,case
感測器,NOUN,compound:nn
組合,NOUN,dobj
，,PUNCT,punct
提供,VERB,conj
多,VERB,amod
樣,VERB,amod
化且,CCONJ,cc
互補,VERB,conj
的,PART,mark
感知,NOUN,compound:nn
模式,NOUN,dobj
，,PUNCT,punct
為實,VERB,case
現,VERB,nmod:prep
更,ADV,advmod
高,ADJ,amod
級別,NOUN,nmod:assmod
的,PART,case
ADAS,PUNCT,conj
和,CCONJ,cc
自動,ADJ,amod
駕駛,NOUN,dobj
鋪路,VERB,conj
。,PUNCT,punct
Yole,PUNCT,nsubj
技術,NOUN,conj
與,CCONJ,cc
市場,NOUN,compound:nn
分析,NOUN,dep
師,NOUN,dep
Pierrick,PUNCT,name
Boulay,PUNCT,nsubj
表示,VERB,ROOT
",",PUNCT,punct
Yole,PUNCT,name
Développement,PUNCT,punct
（,PUNCT,punct
Yole,PUNCT,parataxis:prnmod
）,PUNCT,punct
將,X,aux:ba
LiDA,PUNCT,discourse
R,PUNCT,punct
視為,VERB,ccomp
實現,VERB,acl
汽車,NOUN,compound:nn
全,ADJ,amod
自主化,NOUN,dobj
的,PART,mark
一,NUM,mark
個,NUM,dep
關鍵,ADJ,amod
組成,NOUN,compound:nn
部分,NOUN,dobj
，,PUNCT,punct
其,PRON,compound:nn
功能,NOUN,nsubj
必須,VERB,aux:modal
達,VERB,conj
到,VERB,ccomp
2,NUM,dep
+,ADJ,compound:nn
及,CCONJ,cc
以上,DET,compound:nn
級別,NOUN,dobj
。,PUNCT,ROOT
生產,VERB,dep
符合,VERB,acl
車規,NOUN,dobj
並,CCONJ,cc
具有,VERB,conj
足夠性,ADJ,amod
能,NOUN,compound:nn
水準,NOUN,dobj
的,PART,mark
感測器,NOUN,dobj
，,PUNCT,punct
將成,ADV,ROOT
為汽,NOUN,nsubj
車應,NOUN,compound:nn
用,NOUN,nsubj
大規,ADV,advmod
模採,VERB,advmod
用,VERB,dep
LiDA,PUNCT,dobj
R,PUNCT,dobj
的,PART,mark
關鍵,ADJ,compound:nn
推動力,NOUN,dobj
，,PUNCT,punct
根據,ADP,case
目前,NOUN,nmod
的,PART,case
趨勢,NOUN,nmod:prep
，,PUNCT,punct
預計,VERB,conj
在,ADP,case
2019年,NOUN,conj
至,CCONJ,cc
2025年,NOUN,nmod
之,PART,case
間,PART,case
的,PART,case
複合,NOUN,compound:nn
年增率,NOUN,nsubj
為,VERB,ccomp
+,PUNCT,dep
144％,NUM,dep
。,PUNCT,punct
半導體,NOUN,compound:nn
全,DET,det
製程,NOUN,compound:nn
介紹,NOUN,dep
：,PUNCT,punct
從晶,ADP,dep
圓到,ADP,case
出廠,NOUN,conj
，,PUNCT,punct
看完,VERB,dep
才,ADV,advmod
知道,VERB,ROOT
晶片,NOUN,compound:nn
製造,NOUN,dep
有,VERB,dep
多,ADV,advmod
困難,VERB,ccomp
"
",SPACE,punct
2020,NOUN,nmod:tmod
-,NOUN,nmod:tmod
03,NOUN,nmod:tmod
-,NOUN,nmod:tmod
30,NOUN,nmod:tmod
由,ADP,case
技術,NOUN,compound:nn
工程,NOUN,nmod:prep
師engineer,NOUN,dep
發表于,VERB,conj
資訊,NOUN,compound:nn
"




",SPACE,dep
晶圓,NOUN,compound:nn
處理,NOUN,compound:nn
製程,NOUN,compound:nn
介紹,NOUN,conj
"
",SPACE,punct
基本,ADJ,amod
晶圓,NOUN,compound:nn
處理,NOUN,compound:nn
步驟,NOUN,nsubj
通常,ADV,advmod
是,VERB,cop
晶圓,NOUN,nsubj
先,ADV,advmod
經過,ADP,case
適當,VERB,amod
的,PART,mark
清洗,NOUN,nmod:prep
（,PUNCT,punct
Cleaning,PUNCT,parataxis:prnmod
）,PUNCT,punct
之後,PART,case
，,PUNCT,punct
送到,VERB,conj
熱爐管,NOUN,dobj
（,PUNCT,punct
Furnace,PUNCT,parataxis:prnmod
）,PUNCT,punct
內,PART,case
，,PUNCT,punct
在,ADP,case
含氧,VERB,acl
的,PART,mark
環境,NOUN,nmod:prep
中,PART,case
，,PUNCT,punct
以,ADP,case
加熱,VERB,acl
氧化,VERB,dobj
（,PUNCT,punct
Oxidation,PUNCT,dobj
）,PUNCT,punct
的,PART,mark
方式,NOUN,nmod:prep
在,ADP,case
晶圓,NOUN,nmod:assmod
的,PART,case
表面,NOUN,nmod:prep
形成,VERB,conj
一,NUM,nummod
層,NUM,mark:clf
厚約,ADV,dep
數百,NUM,dep
個,NUM,mark:clf
的,PART,mark
二氧化,NOUN,compound:nn
矽層,NOUN,dobj
，,PUNCT,punct
緊接,ADV,advmod
著厚,VERB,acl
約,ADV,advmod
1000,NUM,dep
-,CCONJ,cc
2000,NUM,nmod:range
的,PART,mark
氮化,NOUN,compound:nn
矽層,NOUN,nsubj
將,ADV,advmod
以,ADP,case
化學,NOUN,compound:nn
氣相,NOUN,compound:nn
沈積,NOUN,nmod:assmod
Chemical,PUNCT,punct
Vapor,PUNCT,case
Deposition,PUNCT,punct
；,PUNCT,punct
CVP,PUNCT,parataxis:prnmod
）,PUNCT,punct
的,PART,case
方式,NOUN,nmod:prep
沈積,VERB,ROOT
（,PUNCT,punct
Deposition,PUNCT,dobj
）,PUNCT,punct
在,ADP,case
剛剛,ADV,advmod
長成,VERB,acl
的,PART,mark
二氧化矽,NOUN,nmod:prep
上,PART,case
，,PUNCT,punct
然後,ADV,advmod
整個,DET,det
晶圓,NOUN,nsubj
將,ADV,advmod
進行,VERB,conj
微影,NOUN,nmod:assmod
（,PUNCT,punct
Lithography,PUNCT,parataxis:prnmod
）,PUNCT,punct
的,PART,case
製程,NOUN,dobj
，,PUNCT,punct
先,ADV,advmod
在,ADP,case
晶圓,NOUN,nmod:prep
上上,PART,case
一,NUM,nummod
層,NUM,mark:clf
光阻,NOUN,dobj
（,PUNCT,punct
Photoresist,PUNCT,parataxis:prnmod
）,PUNCT,punct
，,PUNCT,ROOT
再,ADV,advmod
將,X,aux:ba
光罩,NOUN,nmod
上,PART,case
的,PART,case
圖案,NOUN,dep
移轉,VERB,ROOT
到,VERB,advmod:rcomp
光阻,NOUN,compound:nn
上面,NOUN,dobj
。,PUNCT,ROOT
接著,ADV,advmod
利用,VERB,ROOT
蝕刻,NOUN,compound:nn
（,PUNCT,punct
Etching,PUNCT,parataxis:prnmod
）,PUNCT,punct
技術,NOUN,dobj
，,PUNCT,punct
將,X,aux:ba
部份,NUM,dep
未,ADV,advmod
被,X,auxpass
光阻,NOUN,nsubj
保護,VERB,acl
的,PART,mark
氮化,NOUN,compound:nn
矽層,NOUN,dep
加以,VERB,conj
除去,VERB,compound:vc
，,PUNCT,punct
留下,VERB,nsubj
的,PART,mark
就是,VERB,dep
所,PART,aux:prtmod
需要,VERB,acl
的,PART,mark
線路,NOUN,compound:nn
圖,NOUN,compound:nn
部份,NOUN,dep
。,PUNCT,punct
接著,ADV,advmod
以,ADP,case
磷為,VERB,nmod:prep
離子源,NOUN,dobj
（,PUNCT,punct
Ion,PUNCT,parataxis:prnmod
Source,PUNCT,parataxis:prnmod
）,PUNCT,punct
，,PUNCT,punct
對,ADP,case
整片,NUM,det
晶圓,NOUN,nmod:prep
進行,VERB,conj
磷,NOUN,compound:nn
原子,NOUN,nmod:assmod
的,PART,case
植入,NOUN,dobj
（,PUNCT,punct
Ion,PUNCT,parataxis:prnmod
Implantation,PUNCT,punct
）,PUNCT,punct
，,PUNCT,punct
然後,ADV,advmod
再,ADV,advmod
把,X,aux:ba
光阻劑,NOUN,dep
去除,VERB,conj
（,PUNCT,punct
Photoresist,PUNCT,dep
Scrip,PUNCT,dobj
）,PUNCT,punct
。,PUNCT,punct
製程,NOUN,nsubj
進行,VERB,ROOT
至此,ADV,dobj
，,PUNCT,punct
我,PRON,nsubj
們,PRON,nsubj
已,ADV,advmod
將,X,aux:ba
構成,VERB,acl
集成,ADJ,amod
電路,NOUN,nsubj
所需,VERB,acl
的,PART,mark
電晶,NOUN,conj
體及,NOUN,dep
部份,NUM,nummod
的,PART,case
字符線,NOUN,dep
（,PUNCT,punct
Word,PUNCT,parataxis:prnmod
Lines,PUNCT,parataxis:prnmod
）,PUNCT,punct
，,PUNCT,punct
依光,ADP,case
罩所,PART,aux:prtmod
提供,VERB,acl
的,PART,mark
設計,NOUN,compound:nn
圖案,NOUN,nmod:prep
，,PUNCT,punct
依次,ADV,advmod:dvp
的,PART,mark
在,ADP,case
晶圓,NOUN,nmod:prep
上,PART,case
建立,VERB,conj
完成,VERB,advmod:rcomp
，,PUNCT,punct
接著,ADV,advmod
進行,VERB,conj
金屬化,NOUN,compound:nn
製程,NOUN,dobj
（,PUNCT,punct
Metallization,PUNCT,parataxis:prnmod
）,PUNCT,punct
，,PUNCT,punct
製作,VERB,conj
金屬,NOUN,compound:nn
導線,NOUN,dobj
，,PUNCT,punct
以便,ADV,advmod
將,X,aux:ba
各,DET,det
個,NUM,mark:clf
電晶,NOUN,compound:nn
體與,NOUN,cc
組件,NOUN,dep
加以,VERB,conj
連接,NOUN,dobj
，,PUNCT,punct
而,ADV,advmod
在,ADP,case
每,DET,det
一道,NUM,dep
步驟,NOUN,nmod:prep
加工,VERB,advcl:loc
完後,PART,case
都,ADV,advmod
必須,VERB,aux:modal
進行,VERB,conj
一些,NUM,dep
電性,NOUN,dep
、,PUNCT,punct
或是,CCONJ,cc
物理,NOUN,compound:nn
特性,NOUN,compound:nn
量測,NOUN,dobj
，,PUNCT,punct
以,PART,aux:prtmod
檢驗,VERB,ROOT
加工,NOUN,compound:nn
結果,NOUN,nsubj
是否,ADV,advmod
在,VERB,ccomp
規格內,NOUN,dobj
（,PUNCT,punct
Inspection,PUNCT,discourse
and,CCONJ,cc
Measurement,PUNCT,punct
）,PUNCT,punct
；,PUNCT,punct
如此,ADV,det
重複,ADJ,amod
步驟,NOUN,dep
製作,VERB,conj
第一,NUM,nummod
層,NUM,mark:clf
、,PUNCT,punct
第二,NUM,nummod
層,NUM,mark:clf
．．．,PUNCT,nmod:assmod
的,PART,case
電路,NOUN,compound:nn
部份,NOUN,dobj
，,PUNCT,punct
以,PART,aux:prtmod
在,ADP,case
矽晶,NOUN,nmod:prep
圓上,NOUN,case
製造,VERB,conj
電晶體,NOUN,compound:nn
等,PART,etc
其它,DET,det
電子,NOUN,compound:nn
組件,NOUN,dobj
；,PUNCT,punct
最後,ADV,advmod
所,PART,aux:prtmod
加工,VERB,acl
完成,VERB,advmod:rcomp
的,PART,mark
產品,NOUN,nsubj
會,VERB,aux:modal
被,X,auxpass
送到,VERB,conj
電性,NOUN,compound:nn
測試,NOUN,dobj
區作,VERB,conj
電性,NOUN,compound:nn
量測,NOUN,dobj
。,PUNCT,punct
根據,ADP,case
上述,ADJ,amod
製程,NOUN,nmod:assmod
之,PART,case
需要,NOUN,nmod:prep
，,PUNCT,punct
FAB,PUNCT,nmod:assmod
廠內,NOUN,nsubj
通常,ADV,advmod
可,VERB,aux:modal
分為,VERB,ROOT
四,NUM,dep
大,ADJ,amod
區,NOUN,dobj
：,PUNCT,punct
"

",SPACE,punct
1,NUM,dep
）,PUNCT,punct
黃光,NOUN,nmod:topic
本區,NOUN,nmod:assmod
的,PART,case
作用,NOUN,nsubj
在,VERB,conj
於,VERB,ccomp
利用,VERB,ccomp
照相顯,NOUN,nsubj
微縮,VERB,dep
小,VERB,acl
的,PART,mark
技術,NOUN,dobj
，,PUNCT,punct
定,VERB,conj
義出,VERB,advmod:rcomp
每,DET,det
一,NUM,dep
層,NUM,mark:clf
次,NOUN,nsubj
所,PART,aux:prtmod
需要,VERB,acl
的,PART,mark
電路,NOUN,compound:nn
圖,NOUN,dobj
，,PUNCT,punct
因,ADP,case
為採,VERB,nmod:prep
用,VERB,dep
感光,NOUN,dobj
劑易,NOUN,dobj
曝光,VERB,conj
，,PUNCT,punct
得,VERB,xcomp
在,ADP,case
黃色,ADJ,amod
燈光,NOUN,nsubj
照明,VERB,acl
區域,NOUN,nmod:prep
內,PART,case
工作,VERB,conj
，,PUNCT,punct
所以,ADV,advmod
叫做,VERB,conj
「,PUNCT,punct
黃光區,NOUN,dobj
」,PUNCT,punct
。,PUNCT,punct
2,NUM,dep
）,PUNCT,punct
蝕刻,NOUN,nsubj
經過,ADP,case
黃光定,NOUN,nmod:prep
義出,VERB,ROOT
我,PRON,nsubj
們,PRON,nsubj
所,PART,aux:prtmod
需要,VERB,acl
的,PART,mark
電路,NOUN,compound:nn
圖,NOUN,dobj
，,PUNCT,punct
把,X,aux:ba
不要,ADJ,amod
的,PART,mark
部份,NOUN,dep
去,VERB,conj
除掉,VERB,advmod:rcomp
，,PUNCT,punct
此,DET,det
去除,VERB,acl
的,PART,mark
步驟,NOUN,nsubj
就,ADV,advmod
>,PUNCT,punct
稱,VERB,dep
之,VERB,ccomp
為,VERB,cop
蝕刻,NOUN,ccomp
，,PUNCT,punct
因為,ADP,case
它,PRON,nsubj
好像,ADP,case
雕刻,NOUN,nmod:prep
，,PUNCT,punct
一,NUM,nummod
刀,NOUN,mark:clf
一,NUM,dep
刀,NUM,mark:clf
的,PART,mark
削去,VERB,conj
不,ADV,neg
必要,VERB,amod
不,ADV,neg
必要,VERB,conj
的,PART,mark
木屑,NOUN,dobj
，,PUNCT,punct
完成,VERB,conj
作品,NOUN,dobj
，,PUNCT,punct
期間,NOUN,nsubj
又,ADV,advmod
利用,VERB,dep
酸液,NOUN,dobj
來腐蝕,VERB,conj
的,PART,discourse
，,PUNCT,punct
所以,ADV,advmod
叫做,VERB,ROOT
「,PUNCT,punct
蝕刻區,NOUN,dobj
」,PUNCT,punct
。,PUNCT,ROOT
"

",SPACE,punct
3,NUM,dep
）,PUNCT,punct
擴散,VERB,acl
本區,NOUN,dobj
的,PART,mark
製造,NOUN,compound:nn
過程,NOUN,nsubj
都,ADV,advmod
在,ADP,case
高溫,NOUN,nmod:prep
中,PART,case
進行,VERB,ROOT
，,PUNCT,punct
又,ADV,advmod
稱為,VERB,conj
「,PUNCT,punct
高溫區,NOUN,dobj
」,PUNCT,punct
，,PUNCT,punct
利用,VERB,conj
高溫,NOUN,dobj
給予,VERB,conj
物質,NOUN,compound:nn
能量,NOUN,dobj
而,PART,aux:prtmod
產生,VERB,conj
運動,NOUN,dobj
，,PUNCT,punct
因為,ADP,case
本區,NOUN,nmod:assmod
的,PART,case
機台,NOUN,nsubj
大都,ADV,advmod
為,VERB,cop
一,NUM,nummod
根根,NUM,mark:clf
的,PART,case
爐管,NOUN,nmod:prep
，,PUNCT,punct
所以,ADV,advmod
也,ADV,advmod
有人,VERB,conj
稱為,VERB,ccomp
「,PUNCT,punct
爐管區,NOUN,dobj
」,PUNCT,punct
，,PUNCT,punct
每,DET,det
一,NUM,dep
根,NUM,mark:clf
爐管,NOUN,nsubj
都,ADV,advmod
有,VERB,conj
不同,VERB,amod
的,PART,mark
作用,NOUN,dobj
。,PUNCT,punct
4,NUM,dep
）,PUNCT,punct
真,NOUN,dep
空本,NOUN,dep
區機器,NOUN,nsubj
操作,VERB,advcl:loc
時,PART,case
，,PUNCT,punct
機器,NOUN,advmod:loc
中都,ADV,case
需要,VERB,xcomp
抽成,VERB,ROOT
真空,NOUN,dobj
，,PUNCT,punct
所以,ADV,advmod
稱,VERB,conj
之,PRON,ccomp
為,VERB,cop
真,NOUN,dobj
空區,NOUN,dobj
，,PUNCT,punct
真,NOUN,compound:nn
空區,NOUN,nmod:assmod
的,PART,case
機器,NOUN,nsubj
多,ADV,advmod
