Relation,Count,Ratio
轉速,4,0.11%
發表,4,0.11%
收益,4,0.11%
支持,4,0.11%
追隨,4,0.11%
引腳,4,0.11%
包覆,4,0.11%
透析,4,0.11%
建立,4,0.11%
50,4,0.11%
垂直,4,0.11%
供給,4,0.11%
污染源,4,0.11%
成功,4,0.11%
回升,4,0.11%
更換,4,0.11%
給,4,0.11%
俗稱,4,0.11%
興起,4,0.11%
對,4,0.11%
抽測,4,0.11%
高於,4,0.11%
專業,4,0.11%
台積電,4,0.11%
台灣,4,0.11%
交由,4,0.11%
沉澱,4,0.11%
金屬,4,0.11%
傳到,4,0.11%
傳送,4,0.11%
經營,4,0.11%
人員,4,0.11%
檢查,4,0.11%
缺乏,4,0.11%
縮短,4,0.11%
蓬勃,4,0.11%
水泥,4,0.11%
處,4,0.11%
成立,4,0.11%
類似,4,0.11%
繼續,4,0.11%
折舊,4,0.11%
抽,4,0.11%
點上,4,0.11%
機相,4,0.11%
高速,4,0.11%
介,4,0.11%
審核,4,0.11%
保證,4,0.11%
慢慢,4,0.11%
極,4,0.11%
侷限,4,0.11%
製造業,4,0.11%
不佳,4,0.11%
等待,4,0.11%
解,4,0.11%
來,4,0.11%
耗電,4,0.11%
指定,4,0.11%
簡稱,4,0.11%
手冊,4,0.11%
供應商,4,0.11%
找出,4,0.11%
取決,4,0.11%
粗糙,4,0.11%
腐蝕,4,0.11%
爐,4,0.11%
顯影,4,0.11%
置入,4,0.11%
風險,4,0.11%
純度,4,0.11%
條件,4,0.11%
低於,4,0.11%
扶植,3,0.09%
澄清,3,0.09%
無塵室,3,0.09%
損傷,3,0.09%
氣罩,3,0.09%
廣,3,0.09%
太多,3,0.09%
功能,3,0.09%
引進,3,0.09%
毒性,3,0.09%
換上,3,0.09%
檢腳,3,0.09%
夠,3,0.09%
工作,3,0.09%
換,3,0.09%
包,3,0.09%
商業,3,0.09%
廠商,3,0.09%
氟化,3,0.09%
吸引,3,0.09%
延伸,3,0.09%
摻配,3,0.09%
延長,3,0.09%
濺鍍,3,0.09%
嘗試,3,0.09%
次,3,0.09%
單,3,0.09%
摻入,3,0.09%
加快,3,0.09%
演進,3,0.09%
展望,3,0.09%
廢棄物,3,0.09%
含氧,3,0.09%
有害,3,0.09%
同樣,3,0.09%
因素,3,0.09%
洗,3,0.09%
受惠,3,0.09%
堵,3,0.09%
國際,3,0.09%
昂貴,3,0.09%
束,3,0.09%
常見,3,0.09%
慢,3,0.09%
堅固,3,0.09%
取出,3,0.09%
未,3,0.09%
打線,3,0.09%
情況,3,0.09%
涵蓋,3,0.09%
液體,3,0.09%
想,3,0.09%
原有,3,0.09%
熔化,3,0.09%
浸,3,0.09%
掃描,3,0.09%
有誤,3,0.09%
原料,3,0.09%
指引,3,0.09%
原理,3,0.09%
捕捉,3,0.09%
固化,3,0.09%
方向,3,0.09%
收,3,0.09%
油,3,0.09%
機會,3,0.09%
收緊,3,0.09%
弱,3,0.09%
工業,3,0.09%
完善,3,0.09%
改用,3,0.09%
嚴重,3,0.09%
效率,3,0.09%
敏感,3,0.09%
彙整,3,0.09%
溶出,3,0.09%
污染物,3,0.09%
成品,3,0.09%
升溫,3,0.09%
汲極,3,0.09%
對應,3,0.09%
散入,3,0.09%
後續,3,0.09%
準,3,0.09%
增進,3,0.09%
測品,3,0.09%
定位,3,0.09%
應有,3,0.09%
憑藉,3,0.09%
專門,3,0.09%
排入,3,0.09%
﹕,3,0.09%
熔融,3,0.09%
精密,3,0.09%
保,3,0.09%
促使,3,0.09%
預估,3,0.09%
翻轉,3,0.09%
考慮到,3,0.09%
而定,3,0.09%
預,3,0.09%
能夠,3,0.09%
順天,3,0.09%
能源,3,0.09%
作出,3,0.09%
能力,3,0.09%
面對,3,0.09%
面,3,0.09%
非,3,0.09%
電荷,3,0.09%
致使,3,0.09%
電,3,0.09%
佈線,3,0.09%
集成,3,0.09%
佈植,3,0.09%
蒸出,3,0.09%
仰賴,3,0.09%
通知,3,0.09%
預燒,3,0.09%
修整,3,0.09%
驅動,3,0.09%
麼,3,0.09%
高溫,3,0.09%
細化,3,0.09%
細小,3,0.09%
傳遞,3,0.09%
傳輸,3,0.09%
體系,3,0.09%
體積,3,0.09%
驗證,3,0.09%
催化,3,0.09%
備份,3,0.09%
緩衝,3,0.09%
結果,3,0.09%
飽和,3,0.09%
絕緣,3,0.09%
給予,3,0.09%
經由,3,0.09%
偏低,3,0.09%
 理,3,0.09%
顯得,3,0.09%
預計,3,0.09%
緩慢,3,0.09%
薄膜,3,0.09%
代,3,0.09%
亮眼,3,0.09%
趨強,3,0.09%
資本,3,0.09%
配製,3,0.09%
配,3,0.09%
購買,3,0.09%
還,3,0.09%
選取,3,0.09%
選,3,0.09%
pH,3,0.09%
mol,3,0.09%
越,3,0.09%
遠心,3,0.09%
三,3,0.09%
輕,3,0.09%
過高,3,0.09%
過低,3,0.09%
A,3,0.09%
運作,3,0.09%
轉換成,3,0.09%
轉移到,3,0.09%
述,3,0.09%
造,3,0.09%
透光,3,0.09%
醋酸,3,0.09%
下行,3,0.09%
表,3,0.09%
視為,3,0.09%
防,3,0.09%
交付,3,0.09%
裁,3,0.09%
2001,3,0.09%
開創,3,0.09%
2007,3,0.09%
門檻,3,0.09%
乃為,3,0.09%
24,3,0.09%
主導,3,0.09%
訂,3,0.09%
重,3,0.09%
銷售,3,0.09%
4.1,3,0.09%
計有,3,0.09%
設備商,3,0.09%
世代,3,0.09%
許多,3,0.09%
試產,3,0.09%
重回,3,0.09%
下降,3,0.09%
調勻,3,0.09%
純水,3,0.09%
保留,3,0.09%
粉末,3,0.09%
石英,3,0.09%
目,3,0.09%
領先,3,0.09%
相比,3,0.09%
連續,3,0.09%
看好,3,0.09%
真空,3,0.09%
 備,3,0.09%
矽晶棒,3,0.09%
漏,3,0.09%
矽砂,3,0.09%
 出,3,0.09%
參,3,0.09%
廢溶劑,3,0.09%
不良,3,0.09%
移轉到,3,0.09%
公司,3,0.09%
分解,3,0.09%
分述,3,0.09%
流入,3,0.09%
 LCA,3,0.09%
燃料,3,0.09%
行,3,0.09%
割成,3,0.09%
剪切,3,0.09%
剩餘,3,0.09%
獨佔,3,0.09%
前進,3,0.09%
切入,3,0.09%
現象,3,0.09%
削,3,0.09%
理想,3,0.09%
理,3,0.09%
產,3,0.09%
用到,3,0.09%
利於,3,0.09%
兩,3,0.09%
速度,3,0.09%
儲存,3,0.09%
黏貼,3,0.09%
程序,3,0.09%
黏著,3,0.09%
拉,3,0.09%
元件,3,0.09%
管理,3,0.09%
克服,3,0.09%
更新,3,0.09%
積,3,0.09%
冷,3,0.09%
 用,3,0.09%
穿透,3,0.09%
光片,3,0.09%
重測,2,0.06%
驗收,2,0.06%
抗禮,2,0.06%
措施,2,0.06%
引導,2,0.06%
利潤,2,0.06%
建造,2,0.06%
釋出,2,0.06%
提供給,2,0.06%
利率,2,0.06%
重視,2,0.06%
更為,2,0.06%
六,2,0.06%
銅,2,0.06%
鋼製,2,0.06%
鋸,2,0.06%
鋪設,2,0.06%
了解,2,0.06%
推,2,0.06%
強化,2,0.06%
鉅,2,0.06%
金屬,2,0.06%
強勁,2,0.06%
推測,2,0.06%
推薦,2,0.06%
針,2,0.06%
流體,2,0.06%
推陳,2,0.06%
易,2,0.06%
酸洗,2,0.06%
提前,2,0.06%
廣大,2,0.06%
過多,2,0.06%
過剩,2,0.06%
撰,2,0.06%
撼動,2,0.06%
度,2,0.06%
鰲頭,2,0.06%
進料口,2,0.06%
酸鹼,2,0.06%
進程,2,0.06%
據,2,0.06%
降溫,2,0.06%
擴 ,2,0.06%
擴充,2,0.06%
精製,2,0.06%
過大,2,0.06%
黑,2,0.06%
高深,2,0.06%
切斷,2,0.06%
適宜,2,0.06%
損失,2,0.06%
適應,2,0.06%
狀態,2,0.06%
臨,2,0.06%
點,2,0.06%
更加,2,0.06%
更改,2,0.06%
延續,2,0.06%
淋,2,0.06%
理論,2,0.06%
插入,2,0.06%
配料,2,0.06%
車,2,0.06%
接口,2,0.06%
錯合物,2,0.06%
預設,2,0.06%
性質,2,0.06%
拉升,2,0.06%
性 ,2,0.06%
拉長,2,0.06%
順利,2,0.06%
項,2,0.06%
面臨,2,0.06%
不良品,2,0.06%
預防,2,0.06%
數據,2,0.06%
必須,2,0.06%
需求,2,0.06%
抑制,2,0.06%
指出,2,0.06%
參照,2,0.06%
息息,2,0.06%
拉出,2,0.06%
鑲有,2,0.06%
拆封,2,0.06%
不容易,2,0.06%
預測,2,0.06%
不少,2,0.06%
抵禦,2,0.06%
預定,2,0.06%
不盡,2,0.06%
磊晶,2,0.06%
抽出,2,0.06%
抽成,2,0.06%
感光,2,0.06%
抽氣,2,0.06%
不變,2,0.06%
不足,2,0.06%
投產,2,0.06%
須,2,0.06%
兩種,2,0.06%
離開,2,0.06%
雜質,2,0.06%
把握,2,0.06%
排列,2,0.06%
風量,2,0.06%
關係,2,0.06%
排成,2,0.06%
開支,2,0.06%
開採,2,0.06%
開口,2,0.06%
飽,2,0.06%
列,2,0.06%
影響到,2,0.06%
探尋,2,0.06%
令,2,0.06%
長出,2,0.06%
扭曲,2,0.06%
接上,2,0.06%
關注,2,0.06%
拉出,2,0.06%
黏土,2,0.06%
陶瓷,2,0.06%
來自於,2,0.06%
階段,2,0.06%
練機,2,0.06%
顯現,2,0.06%
聯盟,2,0.06%
風車,2,0.06%
陰離子,2,0.06%
拉晶,2,0.06%
連結,2,0.06%
除掉,2,0.06%
限,2,0.06%
附加,2,0.06%
掉,2,0.06%
待酬,2,0.06%
關閉,2,0.06%
日本,2,0.06%
通暢,2,0.06%
競爭,2,0.06%
泵,2,0.06%
紫,2,0.06%
洗淨,2,0.06%
洗滌塔,2,0.06%
流程,2,0.06%
流通,2,0.06%
浮除,2,0.06%
粉,2,0.06%
簽訂,2,0.06%
範圍,2,0.06%
站,2,0.06%
混凝,2,0.06%
空間,2,0.06%
空,2,0.06%
穩步,2,0.06%
穩定性,2,0.06%
稱作,2,0.06%
涵括,2,0.06%
稱之為,2,0.06%
淨,2,0.06%
淨化,2,0.06%
深,2,0.06%
注入,2,0.06%
泄,2,0.06%
組合,2,0.06%
沒,2,0.06%
缺陷,2,0.06%
终,2,0.06%
總結,2,0.06%
縮,2,0.06%
水分,2,0.06%
水平,2,0.06%
水質,2,0.06%
水量,2,0.06%
締合,2,0.06%
緊密,2,0.06%
求,2,0.06%
汞,2,0.06%
維修,2,0.06%
綜合,2,0.06%
污泥,2,0.06%
汲,2,0.06%
統計,2,0.06%
絕大,2,0.06%
結成,2,0.06%
組裝,2,0.06%
沉降,2,0.06%
深度,2,0.06%
移除,2,0.06%
氟,2,0.06%
激增,2,0.06%
滿載,2,0.06%
當作,2,0.06%
漏電,2,0.06%
申請,2,0.06%
生,2,0.06%
環境,2,0.06%
漲價,2,0.06%
環保,2,0.06%
潛在,2,0.06%
瑕疵,2,0.06%
濃,2,0.06%
混雜,2,0.06%
濃縮,2,0.06%
現況,2,0.06%
現,2,0.06%
獲,2,0.06%
獨特,2,0.06%
物種,2,0.06%
物,2,0.06%
無形,2,0.06%
照射,2,0.06%
燃毒,2,0.06%
疊加,2,0.06%
發出,2,0.06%
滴入,2,0.06%
監控,2,0.06%
清,2,0.06%
清 ,2,0.06%
示為,2,0.06%
磨料,2,0.06%
磨成,2,0.06%
磨,2,0.06%
硬脆,2,0.06%
硝酸,2,0.06%
破損,2,0.06%
破,2,0.06%
減輕,2,0.06%
石英坩,2,0.06%
測試完,2,0.06%
短期,2,0.06%
短暫,2,0.06%
準備好,2,0.06%
相較,2,0.06%
相互,2,0.06%
相,2,0.06%
直觀,2,0.06%
溶液,2,0.06%
氣相,2,0.06%
置放,2,0.06%
這,2,0.06%
易於,2,0.06%
資料,2,0.06%
新穎,2,0.06%
貼上,2,0.06%
買賣,2,0.06%
方案,2,0.06%
變少,2,0.06%
請見,2,0.06%
照明,2,0.06%
易,2,0.06%
誕生,2,0.06%
註明,2,0.06%
解析,2,0.06%
設計書,2,0.06%
設施,2,0.06%
晶粒,2,0.06%
訪視,2,0.06%
最多,2,0.06%
最為,2,0.06%
會,2,0.06%
有別於,2,0.06%
訂定,2,0.06%
有助於,2,0.06%
斑痕,2,0.06%
賴,2,0.06%
購置,2,0.06%
走,2,0.06%
送入,2,0.06%
追蹤,2,0.06%
追上,2,0.06%
迫使,2,0.06%
返回,2,0.06%
迎合,2,0.06%
轉成,2,0.06%
改為,2,0.06%
轉型,2,0.06%
轉印,2,0.06%
轉化,2,0.06%
轉動,2,0.06%
輸入,2,0.06%
輯,2,0.06%
效果,2,0.06%
效益,2,0.06%
輔助,2,0.06%
跟上,2,0.06%
越來,2,0.06%
整,2,0.06%
起見,2,0.06%
解釋,2,0.06%
有機溶劑,2,0.06%
美觀,2,0.06%
正確,2,0.06%
橫向,2,0.06%
檢出,2,0.06%
萃取劑,2,0.06%
花費,2,0.06%
致力,2,0.06%
自行,2,0.06%
膨脹,2,0.06%
腐敗,2,0.06%
脫離,2,0.06%
正式,2,0.06%
能量,2,0.06%
規模,2,0.06%
歷經,2,0.06%
歸類,2,0.06%
殘存,2,0.06%
殘留,2,0.06%
毀損,2,0.06%
股份有限公司,2,0.06%
耐,2,0.06%
比擬,2,0.06%
比為,2,0.06%
比重,2,0.06%
機台,2,0.06%
處置,2,0.06%
機,2,0.06%
融解,2,0.06%
朝下,2,0.06%
規格,2,0.06%
見,2,0.06%
材料,2,0.06%
複製,2,0.06%
析出,2,0.06%
製備,2,0.06%
架置,2,0.06%
核心,2,0.06%
製作成,2,0.06%
裝除,2,0.06%
業,2,0.06%
裝配,2,0.06%
業務,2,0.06%
裁切,2,0.06%
業者,2,0.06%
衰退,2,0.06%
表現,2,0.06%
表 ,2,0.06%
標準,2,0.06%
模板,2,0.06%
磨削,2,0.06%
槽,2,0.06%
優先,2,0.06%
1960年代,2,0.06%
43,2,0.06%
含氯,2,0.06%
含水,2,0.06%
40,2,0.06%
吻合,2,0.06%
品質,2,0.06%
問題,2,0.06%
啟動,2,0.06%
單位,2,0.06%
單純,2,0.06%
噴出,2,0.06%
噴砂法,2,0.06%
四,2,0.06%
2005,2,0.06%
2000,2,0.06%
200,2,0.06%
回火,2,0.06%
回顧,2,0.06%
固定於,2,0.06%
45,2,0.06%
名為,2,0.06%
5.3,2,0.06%
可行,2,0.06%
印刷,2,0.06%
原,2,0.06%
CVD,2,0.06%
CH3COOH,2,0.06%
取樣,2,0.06%
98,2,0.06%
95,2,0.06%
受限,2,0.06%
合格,2,0.06%
5.5,2,0.06%
合機,2,0.06%
合法,2,0.06%
合約,2,0.06%
62,2,0.06%
61,2,0.06%
60,2,0.06%
同力,2,0.06%
52,2,0.06%
固體,2,0.06%
國內,2,0.06%
F,2,0.06%
均,2,0.06%
存放,2,0.06%
存於,2,0.06%
 求,2,0.06%
 水,2,0.06%
定義,2,0.06%
定義出,2,0.06%
 業,2,0.06%
害,2,0.06%
 收,2,0.06%
容器,2,0.06%
容納,2,0.06%
 廠,2,0.06%
密化,2,0.06%
密合,2,0.06%
密封,2,0.06%
密集,2,0.06%
實驗,2,0.06%
寫,2,0.06%
射,2,0.06%
 洗,2,0.06%
 源,2,0.06%
 為,2,0.06%
壓貼,2,0.06%
基於,2,0.06%
基板,2,0.06%
100,2,0.06%
堅持,2,0.06%
墊上,2,0.06%
..............................................................................,2,0.06%
增強,2,0.06%
壓成,2,0.06%
 切,2,0.06%
 生,2,0.06%
 力,2,0.06%
 來,2,0.06%
 資,2,0.06%
大型,2,0.06%
大小,2,0.06%
 言,2,0.06%
失效,2,0.06%
 產,2,0.06%
印上,2,0.06%
H2O,2,0.06%
專注,2,0.06%
乾淨,2,0.06%
先,2,0.06%
光源,2,0.06%
光罩,2,0.06%
位置,2,0.06%
光阻液,2,0.06%
位程,2,0.06%
佈局,2,0.06%
內部,2,0.06%
似,2,0.06%
伸出,2,0.06%
全,2,0.06%
估計,2,0.06%
八,2,0.06%
介質,2,0.06%
兼,2,0.06%
兼顧,2,0.06%
冠,2,0.06%
事業,2,0.06%
乾燥,2,0.06%
充填,2,0.06%
佔據,2,0.06%
佔有,2,0.06%
供貨,2,0.06%
倚賴,2,0.06%
