Relation,Count,Ratio
流體,2,0.09%
委託,2,0.09%
質,2,0.09%
超潔淨,2,0.09%
供作,2,0.09%
氧化,2,0.09%
供氣,2,0.09%
失效,2,0.09%
作業,2,0.09%
廢酸,2,0.09%
3-2,2,0.09%
技術案,2,0.09%
綜合,2,0.09%
整,2,0.09%
指導,2,0.09%
經過,2,0.09%
整表,2,0.09%
mol/L,2,0.09%
經,2,0.09%
72,2,0.09%
兩相,2,0.09%
抑制,2,0.09%
手冊,2,0.09%
g,2,0.09%
冷凍,2,0.09%
來自,2,0.09%
統,2,0.09%
於廢,2,0.09%
蒐集,2,0.09%
來源,2,0.09%
量應,2,0.09%
於燒,2,0.09%
蒸發,2,0.09%
量產,2,0.09%
效益,2,0.09%
自,2,0.09%
成分,2,0.09%
<,2,0.09%
置入,2,0.09%
缺陷,2,0.09%
不致,2,0.09%
損傷,2,0.09%
擬定,2,0.09%
換,2,0.09%
不斷,2,0.09%
收受,2,0.09%
推廣,2,0.09%
82,2,0.09%
緩慢,2,0.09%
效應,2,0.09%
A=,2,0.09%
80,2,0.09%
改為,2,0.09%
改變,2,0.09%
採常,2,0.09%
a,2,0.09%
不具,2,0.09%
異丙醇,2,0.09%
77,2,0.09%
維持切,2,0.09%
成功,2,0.09%
且,2,0.09%
交付,2,0.09%
會進,2,0.09%
彙整,2,0.09%
4.1,2,0.09%
強度,2,0.09%
會殘,2,0.09%
黏土,2,0.09%
強,2,0.09%
乃為,2,0.09%
4,2,0.09%
範例,2,0.09%
範圍,2,0.09%
建廠,2,0.09%
形式,2,0.09%
延長,2,0.09%
解決,2,0.09%
乙醇,2,0.09%
乳化型,2,0.09%
係利,2,0.09%
訂,2,0.09%
廢溶劑,2,0.09%
乾,2,0.09%
有害,2,0.09%
有機,2,0.09%
連續,2,0.09%
點,2,0.09%
組,2,0.09%
必需,2,0.09%
蝕,2,0.09%
紹,2,0.09%
拉出,2,0.09%
表示,2,0.09%
6.3,2,0.09%
年以,2,0.09%
並無,2,0.09%
性,2,0.09%
時,2,0.09%
快,2,0.09%
必要,2,0.09%
點為,2,0.09%
微粒,2,0.09%
中和,2,0.09%
時會,2,0.09%
中心,2,0.09%
5.1,2,0.09%
徑予,2,0.09%
中會,2,0.09%
中用,2,0.09%
更換,2,0.09%
很,2,0.09%
輔助,2,0.09%
摻雜,2,0.09%
光亮,2,0.09%
溫,2,0.09%
灰,2,0.09%
先,2,0.09%
催化,2,0.09%
混練,2,0.09%
混雜,2,0.09%
環節,2,0.09%
鋼線,2,0.09%
過,2,0.09%
0009,2,0.09%
受廢,2,0.09%
混入,2,0.09%
雜,2,0.09%
混,2,0.09%
限制,2,0.09%
進料,2,0.09%
剷除,2,0.09%
備,2,0.09%
淨化,2,0.09%
取決,2,0.09%
相成,2,0.09%
泥窯,2,0.09%
取得,2,0.09%
發,2,0.09%
液面,2,0.09%
做好,2,0.09%
為異,2,0.09%
造業,2,0.09%
為例,2,0.09%
液,2,0.09%
1.,2,0.09%
(磷,2,0.09%
立場,2,0.09%
加上,2,0.09%
充當,2,0.09%
切成,2,0.09%
元,2,0.09%
生料,2,0.09%
優,2,0.09%
鈣,2,0.09%
適宜,2,0.09%
合廢,2,0.09%
合格,2,0.09%
生長,2,0.09%
監視,2,0.09%
遠心,2,0.09%
切出,2,0.09%
盤,2,0.09%
鈣污,2,0.09%
加溫,2,0.09%
為水,2,0.09%
難,2,0.09%
狀態,2,0.09%
合適,2,0.09%
加少,2,0.09%
可用,2,0.09%
合理,2,0.09%
加劑,2,0.09%
雜質,2,0.09%
(碳酸,2,0.09%
為主,2,0.09%
直徑,2,0.09%
同,2,0.09%
傾斜,2,0.09%
長出,2,0.09%
現,2,0.09%
長後,2,0.09%
滲入,2,0.09%
物料,2,0.09%
矽原,2,0.09%
開發,2,0.09%
間必,2,0.09%
取,2,0.09%
熟料,2,0.09%
化學,2,0.09%
出貨,2,0.09%
即可,2,0.09%
判別,2,0.09%
矽製,2,0.09%
公告,2,0.09%
共,2,0.09%
..,2,0.09%
釋放,2,0.09%
重複,2,0.09%
辦理,2,0.09%
保證,2,0.09%
油滴,2,0.09%
釋出,2,0.09%
油,2,0.09%
沸點,2,0.09%
熱量,2,0.09%
產量,2,0.09%
保存,2,0.09%
地,2,0.09%
分餾,2,0.09%
分開,2,0.09%
度差,2,0.09%
燃料,2,0.09%
保留,2,0.09%
國外,2,0.09%
度區,2,0.09%
部分,2,0.09%
疵,2,0.09%
"
  ",2,0.09%
0004,2,0.09%
包,2,0.09%
1.5,2,0.09%
矚目,2,0.09%
知,2,0.09%
前,2,0.09%
10,2,0.09%
去掉,2,0.09%
溶,2,0.09%
洗滌,2,0.09%
動,2,0.09%
固化,2,0.09%
11,2,0.09%
溶於,2,0.09%
具備,2,0.09%
級乃為,1,0.04%
產物,1,0.04%
細,1,0.04%
純淨,1,0.04%
度快,1,0.04%
量組,1,0.04%
度須,1,0.04%
年成,1,0.04%
細處,1,0.04%
年於德州,1,0.04%
純度,1,0.04%
結,1,0.04%
素萃,1,0.04%
產業,1,0.04%
組輸,1,0.04%
行生產,1,0.04%
紅,1,0.04%
終止,1,0.04%
組織,1,0.04%
細部,1,0.04%
量限,1,0.04%
濾材,1,0.04%
行星,1,0.04%
年效,1,0.04%
系統化,1,0.04%
力大,1,0.04%
行政院,1,0.04%
甚嚴,1,0.04%
行除,1,0.04%
縮到,1,0.04%
都是,1,0.04%
特殊,1,0.04%
線寬,1,0.04%
編,1,0.04%
特有,1,0.04%
都用,1,0.04%
特定,1,0.04%
數小時,1,0.04%
數,1,0.04%
編制,1,0.04%
編號,1,0.04%
（,1,0.04%
－,1,0.04%
物性,1,0.04%
片子,1,0.04%
都改,1,0.04%
繁殖,1,0.04%
繞射,1,0.04%
不高,1,0.04%
續,1,0.04%
片,1,0.04%
續制,1,0.04%
纖維,1,0.04%
缺,1,0.04%
不需,1,0.04%
缺乏,1,0.04%
缺少,1,0.04%
爭力,1,0.04%
＜,1,0.04%
置並,1,0.04%
特製,1,0.04%
維持酸,1,0.04%
結垢,1,0.04%
統採,1,0.04%
結晶,1,0.04%
生產廠,1,0.04%
生產單,1,0.04%
結束,1,0.04%
良好,1,0.04%
見表,1,0.04%
給予,1,0.04%
生斑,1,0.04%
統(,1,0.04%
精簡化,1,0.04%
精製,1,0.04%
統內,1,0.04%
統圖,1,0.04%
用作,1,0.04%
瓷時,1,0.04%
獲得,1,0.04%
統業,1,0.04%
都採,1,0.04%
亮面,1,0.04%
說明該,1,0.04%
塞物者,1,0.04%
環,1,0.04%
經回,1,0.04%
經濃,1,0.04%
參表,1,0.04%
經營,1,0.04%
參考,1,0.04%
現場,1,0.04%
現共,1,0.04%
經驗,1,0.04%
粉末,1,0.04%
易建立,1,0.04%
年發表,1,0.04%
留物,1,0.04%
易產,1,0.04%
秒,1,0.04%
祈,1,0.04%
相關,1,0.04%
相隔,1,0.04%
真正,1,0.04%
示為,1,0.04%
移向,1,0.04%
督,1,0.04%
礦砂,1,0.04%
硫酸,1,0.04%
類,1,0.04%
易爆物,1,0.04%
石灰石,1,0.04%
相適應,1,0.04%
相轉,1,0.04%
年開,1,0.04%
理想,1,0.04%
流回,1,0.04%
相到,1,0.04%
種,1,0.04%
理業,1,0.04%
理方,1,0.04%
流至,1,0.04%
相對,1,0.04%
相較,1,0.04%
流速,1,0.04%
程如,1,0.04%
相燒,1,0.04%
泥,1,0.04%
稀土,1,0.04%
相當,1,0.04%
石膏,1,0.04%
磨料,1,0.04%
石英,1,0.04%
矽鑄,1,0.04%
碳,1,0.04%
類繁,1,0.04%
矽酸,1,0.04%
破碎,1,0.04%
陸地,1,0.04%
矽錠,1,0.04%
破壞切,1,0.04%
磨擦,1,0.04%
砂,1,0.04%
研究,1,0.04%
易成,1,0.04%
研,1,0.04%
輪磨,1,0.04%
研磨盤,1,0.04%
碳吸,1,0.04%
碳需,1,0.04%
矽還,1,0.04%
確,1,0.04%
矽甲,1,0.04%
類氣,1,0.04%
易滋生,1,0.04%
矽渣,1,0.04%
矽晶棒,1,0.04%
確實,1,0.04%
磁場,1,0.04%
易燃,1,0.04%
磚,1,0.04%
矽元素,1,0.04%
類予,1,0.04%
磨平,1,0.04%
易爆,1,0.04%
離法,1,0.04%
離開,1,0.04%
積體,1,0.04%
易伴,1,0.04%
切除,1,0.04%
簡要,1,0.04%
簡圖,1,0.04%
當酸,1,0.04%
節流,1,0.04%
連續化,1,0.04%
節約,1,0.04%
發現,1,0.04%
節,1,0.04%
發出,1,0.04%
管線,1,0.04%
靈活,1,0.04%
領域,1,0.04%
算約,1,0.04%
當地,1,0.04%
度低,1,0.04%
簡述,1,0.04%
度取,1,0.04%
界面,1,0.04%
申請,1,0.04%
連結,1,0.04%
連接,1,0.04%
度大,1,0.04%
煉銅,1,0.04%
籌建,1,0.04%
粉,1,0.04%
度容易,1,0.04%
用土,1,0.04%
用到,1,0.04%
年限,1,0.04%
粉屑,1,0.04%
算,1,0.04%
等待,1,0.04%
龍頭,1,0.04%
空間,1,0.04%
站,1,0.04%
窯,1,0.04%
窒息,1,0.04%
穿透,1,0.04%
盤查,1,0.04%
料進行,1,0.04%
料酸,1,0.04%
第四,1,0.04%
空並,1,0.04%
料須,1,0.04%
相中,1,0.04%
粒子,1,0.04%
穩,1,0.04%
穎且,1,0.04%
料作,1,0.04%
狀況,1,0.04%
了除,1,0.04%
端設,1,0.04%
競爭,1,0.04%
例溶,1,0.04%
皆委,1,0.04%
百分之二,1,0.04%
例係,1,0.04%
領班,1,0.04%
切削線,1,0.04%
第七,1,0.04%
發更,1,0.04%
第三,1,0.04%
發貨,1,0.04%
切換,1,0.04%
第二,1,0.04%
防設,1,0.04%
處,1,0.04%
置於,1,0.04%
電費,1,0.04%
造,1,0.04%
速度,1,0.04%
靠,1,0.04%
面積,1,0.04%
通用,1,0.04%
面訂,1,0.04%
這個,1,0.04%
這,1,0.04%
逕行,1,0.04%
途有,1,0.04%
面臨,1,0.04%
響氧,1,0.04%
響相,1,0.04%
途徑,1,0.04%
透選,1,0.04%
頂部,1,0.04%
透薄,1,0.04%
透明,1,0.04%
項,1,0.04%
送酸,1,0.04%
項目,1,0.04%
造固化,1,0.04%
非常,1,0.04%
造法,1,0.04%
運送,1,0.04%
過濾器,1,0.04%
過冷,1,0.04%
過高,1,0.04%
電路,1,0.04%
過小,1,0.04%
需仔,1,0.04%
過大,1,0.04%
需先,1,0.04%
運達,1,0.04%
運轉,1,0.04%
非呈,1,0.04%
運輸,1,0.04%
需用,1,0.04%
運,1,0.04%
需經,1,0.04%
進步,1,0.04%
進口者,1,0.04%
需達,1,0.04%
需關,1,0.04%
需理,1,0.04%
送往,1,0.04%
送出,1,0.04%
送入,1,0.04%
較低,1,0.04%
較敏感,1,0.04%
較慢,1,0.04%
較快,1,0.04%
較差,1,0.04%
較小,1,0.04%
較大,1,0.04%
較具,1,0.04%
較光亮,1,0.04%
須著,1,0.04%
須藉,1,0.04%
較無,1,0.04%
軸,1,0.04%
軟化,1,0.04%
跟,1,0.04%
足,1,0.04%
須還,1,0.04%
須更,1,0.04%
燒成,1,0.04%
趨向,1,0.04%
越,1,0.04%
較為,1,0.04%
較純,1,0.04%
送交,1,0.04%
順利,1,0.04%
順,1,0.04%
退回,1,0.04%
追蹤,1,0.04%
返回,1,0.04%
辨認,1,0.04%
轉不,1,0.04%
轉變,1,0.04%
轉換,1,0.04%
轉入,1,0.04%
須將,1,0.04%
較複,1,0.04%
須採,1,0.04%
輸,1,0.04%
輕易,1,0.04%
輕便,1,0.04%
輕微,1,0.04%
須用,1,0.04%
載明,1,0.04%
較重視,1,0.04%
較適當,1,0.04%
電阻,1,0.04%
電漿,1,0.04%
預測,1,0.04%
達淨化,1,0.04%
鑑,1,0.04%
鑄,1,0.04%
錯合物,1,0.04%
錯合性,1,0.04%
錯,1,0.04%
鋼材,1,0.04%
鋸出,1,0.04%
限於,1,0.04%
銷售,1,0.04%
除去,1,0.04%
銨為,1,0.04%
除掉,1,0.04%
銅液,1,0.04%
鉀,1,0.04%
鈣反,1,0.04%
鈣),1,0.04%
鈉),1,0.04%
鈉,1,0.04%
釐清,1,0.04%
重力,1,0.04%
重點,1,0.04%
限作,1,0.04%
鑒於,1,0.04%
附飽,1,0.04%
開盒,1,0.04%
防潮,1,0.04%
防治,1,0.04%
防靜,1,0.04%
防垢,1,0.04%
阻塞,1,0.04%
防,1,0.04%
關閉長,1,0.04%
附劑,1,0.04%
間為,1,0.04%
附後,1,0.04%
長成,1,0.04%
附著,1,0.04%
開,1,0.04%
門,1,0.04%
長度,1,0.04%
附近,1,0.04%
長至,1,0.04%
長矽單,1,0.04%
附鑽,1,0.04%
長時,1,0.04%
除殘,1,0.04%
重要者,1,0.04%
除氫,1,0.04%
雜微,1,0.04%
隔離,1,0.04%
隼次,1,0.04%
部份,1,0.04%
雙方,1,0.04%
那些,1,0.04%
邊緣,1,0.04%
邊磨,1,0.04%
還原,1,0.04%
邁進,1,0.04%
遺漏,1,0.04%
陽,1,0.04%
難免,1,0.04%
遷移,1,0.04%
遲滯,1,0.04%
遭遇,1,0.04%
難易度,1,0.04%
電壓,1,0.04%
電源,1,0.04%
遞減,1,0.04%
達清,1,0.04%
階段,1,0.04%
陷來,1,0.04%
除油,1,0.04%
酸腐蝕,1,0.04%
重於,1,0.04%
重新,1,0.04%
重,1,0.04%
醯胺,1,0.04%
除線,1,0.04%
醇當,1,0.04%
醇為,1,0.04%
醇(,1,0.04%
酸鈣,1,0.04%
酸經,1,0.04%
配成,1,0.04%
酸液,1,0.04%
酸洗,1,0.04%
除金,1,0.04%
酸欲,1,0.04%
酚醇,1,0.04%
陷存,1,0.04%
配料,1,0.04%
配管,1,0.04%
配於,1,0.04%
超濾,1,0.04%
超越,1,0.04%
義為,1,0.04%
製氣,1,0.04%
來分,1,0.04%
防銹,1,0.04%
來判,1,0.04%
薄膜,1,0.04%
薄,1,0.04%
蒸餾法,1,0.04%
來去,1,0.04%
來富集,1,0.04%
蒸汽,1,0.04%
蒸氣,1,0.04%
著火,1,0.04%
著下,1,0.04%
著,1,0.04%
萃入,1,0.04%
萃),1,0.04%
來看,1,0.04%
英坩,1,0.04%
來達,1,0.04%
苯,1,0.04%
冷凝法,1,0.04%
芳香,1,0.04%
處置,1,0.04%
蠟鑲,1,0.04%
號整,1,0.04%
車出,1,0.04%
製備,1,0.04%
製作,1,0.04%
更須,1,0.04%
裝進,1,0.04%
裝於,1,0.04%
更高硬度,1,0.04%
裝入,1,0.04%
裝),1,0.04%
裝,1,0.04%
車輸,1,0.04%
拉成,1,0.04%
袋口,1,0.04%
車運,1,0.04%
表可,1,0.04%
落實,1,0.04%
衝罐,1,0.04%
衍生,1,0.04%
螯合物,1,0.04%
螯,1,0.04%
融解,1,0.04%
爐管,1,0.04%
花費,1,0.04%
般,1,0.04%
不必,1,0.04%
不宜,1,0.04%
不少,1,0.04%
聘請,1,0.04%
聘用,1,0.04%
聊天,1,0.04%
耳分,1,0.04%
耗費人,1,0.04%
耗時,1,0.04%
不影,1,0.04%
不整,1,0.04%
脫水劑,1,0.04%
耐蝕,1,0.04%
不會,1,0.04%
不用,1,0.04%
耐火板,1,0.04%
耐,1,0.04%
不當,1,0.04%
不盡,1,0.04%
不足,1,0.04%
不適,1,0.04%
不好,1,0.04%
不大,1,0.04%
舊編,1,0.04%
自然界,1,0.04%
舊塗膜,1,0.04%
路為,1,0.04%
臻,1,0.04%
致,1,0.04%
至蒸,1,0.04%
至位,1,0.04%
自行,1,0.04%
綠色,1,0.04%
自轉,1,0.04%
自晶,1,0.04%
不均,1,0.04%
自動化,1,0.04%
率達,1,0.04%
率高,1,0.04%
膠,1,0.04%
膜移,1,0.04%
膜上,1,0.04%
脫除,1,0.04%
便用,1,0.04%
脫附,1,0.04%
更長,1,0.04%
更趨,1,0.04%
超純水,1,0.04%
製磚,1,0.04%
讓包,1,0.04%
變酸,1,0.04%
變形,1,0.04%
變化,1,0.04%
證明,1,0.04%
謝,1,0.04%
謂純,1,0.04%
諱言,1,0.04%
請教,1,0.04%
調節,1,0.04%
飽,1,0.04%
調,1,0.04%
課題,1,0.04%
誰來,1,0.04%
誤,1,0.04%
認真,1,0.04%
認為,1,0.04%
詳列,1,0.04%
詳述,1,0.04%
該項,1,0.04%
該系統,1,0.04%
風潮,1,0.04%
讓國,1,0.04%
讓融,1,0.04%
貼附,1,0.04%
預算,1,0.04%
超純,1,0.04%
預處理,1,0.04%
超,1,0.04%
起燃,1,0.04%
質量,1,0.04%
預計,1,0.04%
頸開,1,0.04%
顆粒,1,0.04%
貼板,1,0.04%
顯,1,0.04%
費,1,0.04%
買方,1,0.04%
貯料,1,0.04%
顏色,1,0.04%
