Entity,EntityIndex,Relation,RelationIndex
"['晶圓', '通過將', '投入於', '任務接過來']","[0, 3, 7, 11]","['大規模', '生產線']","[4, 8]"
"['創型公司', '一個', '機會來', '設計', '想法']","[3, 6, 11, 15, 18]","['提供', '靈便', '在', '方面']","[4, 8, 13, 16]"
"['過程', '行業整體']","[1, 4]","['下行', '優於']","[0, 2]"
"['後來', 'Intel挑戰更為', '', '工藝']","[1, 7, 9, 11]","[' 夠', '領先', '先進', '製程']","[3, 4, 8, 10]"
"['兩個方面', '行業', '變化趨勢', '一方面亞洲', '產業通過', '基地', '晶圓代工業務']","[3, 6, 10, 14, 17, 22, 26]","['影響', '發展', '效仿', '台積電', '生產']","[4, 7, 18, 19, 21]"
"['晶圓代工半導體企業', '21 世紀交替的前後']","[5, 13]","['起步', '發展', '']","[6, 7, 12]"
"[' TI、Infineon、 STM', 'Freescale、NXP等', '上做出', '調整']","[6, 12, 17, 20]","['包括', '了']","[0, 18]"
['完全'],[2],"['沒有', '相關', '業務']","[1, 4, 5]"
"['AMD分別', '和2015 年', '了自身', '和封裝', '業務']","[1, 5, 8, 12, 14]","['晶圓', '測試']","[9, 13]"
"['上述統計中以', '', '', '等既', '晶圓製造和封裝', '能力又將', '產品通過外包', '']","[4, 6, 8, 11, 18, 22, 27, 29]","['', '生產', '廠商']","[14, 28, 30]"
"['晶圓', '影響', '分工后']","[0, 6, 9]","['代工', '興起', '深遠', '在於', '全球化']","[1, 2, 4, 7, 8]"
"['晶圓', '：']","[2, 7]","['代工', '細化', '發展', '吉無不利']","[3, 5, 6, 8]"
"['各', '態晶圓代工行業順應了產業', '而', '了', '長足發展']","[2, 10, 13, 15, 21]","['短長', '肥瘦', '有', '發展', '獲得', '近']","[0, 1, 3, 11, 14, 17]"
"['晶圓', '行業', '方向發展']","[0, 2, 9]","['代工', '細分']","[1, 7]"
['位程'],[1],"['先進', '鰲頭', '獨佔']","[0, 4, 5]"
"['晶 圓', '業務模式', '積極地的意義']","[2, 5, 10]","['代工', '有']","[3, 6]"
['工藝投入'],[4],"['先進', '「', '」']","[2, 5, 8]"
"['UMC和格羅方德相繼', '布局（我們', '認為其', '「', '）']","[3, 11, 14, 16, 26]","['先進', '位程', '', '為', '放緩', '而', '放', '」']","[6, 7, 8, 15, 17, 19, 23, 25]"
"['半導體巨頭三星', '2017 年宣布', '晶圓', '行業中后']","[4, 9, 11, 14]","['進入', '代工']","[10, 12]"
"['國際', '位程技術上的推進', '布局']","[1, 8, 14]","['先進', '跟隨']","[3, 11]"
"[' UMC和格羅方德', '投資']","[2, 7]","['先進', '工藝']","[5, 6]"
"['晶圓', '外', '其他業務']","[3, 5, 9]","['代工', '有']","[4, 7]"
"['MCU', '電路和', '器件三個領域佔', '市場的份額接近', '%']","[2, 5, 11, 16, 18]","['包括', '整體', '50']","[0, 12, 17]"
"['', '工藝']","[0, 2]","['先進', '相比']","[1, 3]"
"['更多', '製造', '環節外包', '選擇']","[1, 4, 11, 15]","['生產', '易於', '標準', '化', '成為', '合理']","[3, 6, 7, 8, 12, 13]"
"['成本', '方面的優勢']","[1, 5]","['成為', '控制']","[0, 2]"
"['國內半導體行業', '', '工程', '企業之一']","[3, 5, 10, 15]","['作為', '發展', '重要', '建立']","[0, 4, 6, 11]"
"['前段論述中我們', '中芯國際', '地區', '工藝製程', '廠商']","[3, 6, 9, 12, 15]","['認為', '作為', '先進', '發展']","[4, 7, 10, 13]"
"['資本方面', '資 源', '方面', '規模的支持']","[2, 4, 6, 14]","['投入', '有', '大']","[5, 9, 11]"
"['行業', '規律', '條件']","[1, 4, 6]","['發展', '看']","[2, 7]"
"['特色工藝', '工藝', '市場地位']","[2, 4, 11]","['先進', '具備', '重要']","[3, 6, 8]"
"['', '工藝', '廠商', '一家']","[3, 6, 9, 16]","['持續', '不斷', '進行', '先進', '開發', '剩下']","[1, 2, 4, 5, 7, 12]"
"['由', '兩個模式的結合才', '個地區積極', '代工並', '保障']","[0, 7, 12, 16, 21]","['發展', '晶圓', '綜合']","[13, 14, 18]"
"['晶圓', '規模']","[1, 4]","['代工', '持續', '做', '大']","[2, 5, 6, 7]"
"['客戶', '下', '產品', '需要1-', ' 月不', '時間']","[0, 2, 4, 8, 11, 14]","['單到', '交付', '']","[3, 5, 13]"
"['世界', '聯華電子', '規模', '一些的供應商']","[2, 6, 8, 13]","['結合', '先進', '作為', '相對', '小', '看']","[1, 3, 7, 9, 10, 15]"
"['中芯國際', '半導體廠商的代錶廠商']","[2, 9]","['增加', '作為']","[0, 3]"
"['存儲器的價格波動作', '行業的前瞻性指標預測行業的未來景氣度變動']","[4, 15]","['採用', '為', '趨勢']","[0, 5, 16]"
"['本報告中我們', '晶圓代工廠商的收入規模波動作', '指標', '預測']","[5, 15, 17, 19]","['採用', '為', '進行']","[7, 16, 18]"
"['市場', ' 年期國債收益率', '其指數', '500指數']","[1, 8, 14, 17]","['選取', '2']","[3, 4]"
"['我們', '國債收益率曲線月度波動作', '資金', '指標']","[0, 7, 9, 12]","['增加', '為', '面', '鬆緊']","[2, 8, 10, 11]"
"['資金狀況', '行業市場', '我們']","[4, 8, 11]","['增加', '考慮', '影響', '認為']","[1, 2, 10, 12]"
"['市場', '情況下']","[2, 6]",['趨弱'],[3]
"['我們', '方式', '國內A股市場的走勢情況']","[0, 4, 12]","['採取', '同樣', '研究']","[1, 2, 5]"
"['中債2 年期國債收益率作為', '參考']","[6, 8]","['採用', '指標']","[0, 7]"
"['', '市場', '觀察方法研究區間', '收益情況', '收益率的角度看']","[1, 3, 9, 12, 18]","['採用', '類似', '超額']","[0, 4, 10]"
"['市場', '確定性的情況下']","[1, 8]","['處於', '好']","[2, 4]"
"['半導體板塊的投資', '市場', '認可']","[3, 5, 8]",['獲得'],[4]
"['過程', '收益率']","[2, 4]","['收縮', '理想']","[0, 7]"
"['代表的晶圓代工', '月度營收', '存儲器價格', '行業', '上行 的趨勢']","[6, 10, 14, 18, 23]","['製造', '變動', '顯示', '具備']","[7, 15, 17, 19]"
"['IC設計', '封裝、', '晶圓半成品']","[3, 7, 19]","['製造', '測試', '銷售', '包辦', '製作成']","[4, 8, 11, 14, 16]"
"['測試後之成品', '銷售管道', '系統廠商', '系統產品']","[3, 7, 10, 15]","['售予', '裝配', '生產', '成為']","[8, 11, 12, 13]"
"['各公司', 'IP種類']","[1, 6]","['提供', '太多']","[3, 7]"
"['客戶', '產品的規格與功能']","[1, 9]",['開發'],[4]
"['一片晶片的功能', '邏輯', '晶圓', '流程']","[7, 9, 12, 15]","['設計', '設計']","[10, 13]"
"['資源', '本土半導體產業']","[2, 6]","['投入', '扶植']","[0, 3]"
['半導體供應鏈'],[5],"['發展', '自有']","[1, 2]"
"['Chromebook、平板電腦、伺服器、電視', '需求']","[10, 12]","['電競', '成長', '受惠']","[11, 13, 15]"
"['民眾', '科技需求', '需求', '下']","[0, 4, 6, 10]","['相關', '持續', '存在']","[5, 8, 9]"
"['5G', '運算與新興物聯網需求']","[3, 9]","['相關', '高速']","[0, 4]"
"['其餘廠商', '聯電、世界', '積電']","[1, 5, 8]","['包含', '先進', '力']","[2, 6, 7]"
"['8吋與12吋', '產能']","[5, 7]","['相關', '接近', '滿載']","[6, 9, 10]"
"['晶圓', '龍頭', '製程', '產能外']","[1, 3, 8, 12]","['代工', '持續', '先進', '邁進', '擴']","[2, 4, 7, 9, 10]"
['12吋廠聯芯產能'],[7],"['包括', '擴增']","[0, 1]"
"['廠區', '設備', '40奈米', '28奈米']","[1, 6, 10, 14]","['增加', '新', '投資', '加快', '轉換']","[4, 5, 7, 8, 11]"
"['2020年', '', '家工作', '應用需求']","[0, 4, 7, 10]","['包括', '遠距', '教學', '成長']","[1, 2, 3, 12]"
"['NAND控制晶片', '產能']","[2, 5]","['生產', '不足']","[3, 6]"
"['市場', '2021年', 'AI、', '運算', '需求']","[1, 3, 7, 10, 12]","['高速', '持續', '看好']","[9, 13, 14]"
"['SiP需求', '下']","[4, 7]","['相關', '持續', '增加']","[2, 5, 6]"
"['智慧型手機、筆電', '產品', '驅動IC需求']","[4, 6, 10]",['增加'],[11]
"['半導體', '預期']","[1, 4]","['成長', '超乎']","[2, 3]"
"['半導體產業', '2020上半年', '疫情', '半導體', '供應鏈']","[2, 5, 8, 11, 13]","['影響', '相關']","[10, 12]"
"['半導體', '廠商', '製程國際競爭優勢']","[2, 4, 9]",['領導'],[3]
"['目前矽單晶', '技術']","[2, 4]","['成長', '成熟']","[3, 7]"
"['晶塊材', '晶圓長成的圓柱形矽晶棒首先經切', '晶片']","[1, 11, 13]","['成長', '割成']","[2, 12]"
"['晶片', '機  械研磨及化學']","[3, 10]","['切割', '好', '侵蝕']","[0, 1, 11]"
"['表面', '鏡']","[1, 6]","['磨', '滑']","[2, 4]"
"['單晶', '–磊晶 example of vapor phase epitaxy:SiCl  \uf0e0  4 + 2H2  Si + 4 HCl  磊晶矽薄膜的純度高、缺陷少、性質']","[0, 18]","['成長', '佳']","[1, 19]"
['有機溶劑'],[2],"['清洗', '掉']","[3, 4]"
"['蝕', '方法分為', '蝕刻', '濕蝕刻法']","[0, 3, 5, 10]","['刻', '乾', '法', '', '種']","[1, 4, 6, 7, 12]"
"['蝕刻', '圖形', '步驟']","[0, 2, 5]","['形成', '為']","[1, 3]"
"['雜質的方法', '法及離子', '法']","[3, 8, 10]","['摻入', '包括', '擴散', '佈植']","[0, 4, 5, 9]"
"['快速高溫', '快速', '處理為', '', '過程', '重要的步驟']","[1, 3, 6, 8, 11, 16]","['處理', '高溫', '電晶體', '電容', '成形', '一']","[2, 4, 7, 9, 10, 17]"
"['構裝', '封裝']","[0, 3]","['包括', '接線']","[1, 4]"
['能力'],[2],"['增加', '導熱']","[0, 1]"
"['蝕刻', '某種材質', '晶圓表面上', ' 除']","[0, 6, 10, 12]",['移'],[11]
"['晶圓', '陰極之上']","[0, 7]","['係', '置於', '帶', '']","[1, 2, 3, 5]"
"['後者', '蝕刻', '角色']","[1, 6, 8]",['重要'],[7]
"['蝕刻', '兩種模式', '混會', '1']","[0, 5, 8, 11]","['單獨', '進行']","[6, 9]"
"['製程', '應', '內']","[7, 9, 11]","['導入', '受到', '嚴密', '控制', '反']","[2, 3, 4, 5, 8]"
"['金層', '  學氣相', '鎢、鋁、氮化鈦', '其他金屬', '一種熱門的CVD應用']","[2, 5, 15, 18, 28]","['化', '沉積', '包括', '']","[3, 6, 8, 26]"
"['晶矽', '半導體電晶體之部分結構', '在某些', '元件上常見', '則是', '', '結 晶', '上的一層純矽結晶']","[1, 9, 13, 18, 21, 25, 28, 35]","['多', '用來', '形容', '磊晶矽', '均勻', '晶圓', '表面']","[0, 3, 4, 19, 24, 26, 29]"
"['晶圓', '摻質的帶電離子束撞擊']","[0, 9]","['受到', '稱為']","[2, 4]"
"['晶圓', '材質']","[2, 5]","['移除', '表面']","[1, 3]"
"['研磨頭', '晶圓', '研磨墊上並', '旋轉']","[0, 4, 9, 12]","['用來', '壓', '晶圓']","[2, 5, 11]"
"['製程', '在下', '製程階段中']","[0, 3, 7]",['監控'],[1]
"['圖案晶圓檢測系統可', '上是', '包括', ' 子、斷線、短路、以', '式各樣']","[4, 9, 13, 22, 27]","['檢測出', '晶圓', '瑕疵', '有', '微塵粒']","[6, 7, 12, 14, 15]"
"['技術', '凸塊', '矩陣式', '晶片面積內']","[2, 4, 6, 11]","['散入', '排列']","[1, 7]"
"['晶片', '技術', '前']","[1, 6, 8]","['決定', '採用', '散入', '構裝']","[0, 4, 5, 7]"
"['晶片', '空間', '所有的連接點']","[2, 7, 11]","['確認', '有', '足夠', '容納']","[1, 4, 5, 8]"
"['晶片', '面板內部']","[2, 6]",['鑲埋'],[3]
"['I/O接點', '方式', '晶圓面積內']","[4, 7, 12]","['散入', '製作']","[6, 8]"
"['方式', '塑膠模上']","[3, 7]","['散出', '製作']","[2, 4]"
"['首先', '', '', '', '效益等']","[0, 4, 6, 8, 11]","['製造', '']","[3, 4]"
"['以期', '技術', '狀態']","[0, 6, 8]","['掌握', '先進', '發展']","[2, 3, 7]"
"['晶片', 'Know Good Die']","[4, 6]","['測試', '良好']","[1, 2]"
"['Fan-Out WLP', '典型']","[1, 6]","['晶圓', '製程']","[4, 7]"
"['晶片', '', '載具上的位置', '偏移']","[3, 6, 12, 15]","['維持', '持取', '放置', '發生']","[2, 5, 7, 14]"
"['晶片', '精確度']","[2, 5]","['位置', '要求', '高']","[3, 6, 8]"
"['晶圓', '塑膠、矽及金屬材料']","[3, 10]","['建構', '含有']","[2, 4]"
"['鑄模Fan-Out WLP技術由於傳統Fan-Out WLP是', '晶片', '表面', '佈線']","[7, 11, 14, 16]","['含有', '']","[9, 13]"
"['晶片', '灌膠鑄模時']","[1, 6]","['朝下', '作']","[2, 3]"
"['Fully Molding Fan-Out WLP', '四', '製程']","[0, 3, 5]","['製造', '包含', '大']","[1, 2, 4]"
"['晶片', '鑄模及加熱等製程', '晶片位移']","[2, 9, 14]","['消除', '貼合', '引起']","[1, 4, 11]"
"['晶片', '速度', '電性設計的準確性']","[3, 6, 11]","['加速', '取放', '增加']","[2, 4, 7]"
"['晶圓製程中', '蝕刻', '蝕刻', '什麼']","[3, 6, 8, 10]","['乾', '濕']","[4, 7]"
"['蝕刻', '蝕刻與濕式蝕刻兩種']","[0, 9]",['分為'],[2]
"['常', '', '蝕刻', '平行板', '離子蝕刻']","[1, 3, 5, 7, 10]",['乾式'],[4]
"['反應後之物質', '表面', '排氣', '外部']","[3, 6, 10, 13]","['脫離', '排']","[7, 11]"
"['感光圖型', '高精度微細', '作業']","[6, 10, 12]","['使', '獲得', '相同', '加工', '起見']","[1, 3, 7, 11, 13]"
"['IC', '高密度的電漿蝕刻']","[3, 11]","['高微', '細化', '採用', '裝置']","[0, 1, 7, 12]"
"['蝕刻', '', '蝕刻']","[1, 4, 6]","['為', '等方', '進行']","[2, 3, 5]"
"['感光樹脂', '部分的圖型', '處理中', '正型', '感光部分的負型兩種']","[1, 7, 11, 16, 24]","['分為', '感光', '顯影', '去', '保留']","[3, 4, 9, 14, 18]"
"['最近', 'KrF excimer laser', '樹脂', '產生劑、溶媒的混合液', '', '化學', '大型']","[0, 2, 7, 13, 15, 17, 19]","['採用', '養', '組成', '放']","[4, 8, 14, 18]"
"['其', '動能', '四吋', '六吋晶圓廠後']","[0, 2, 5, 11]","['成長', '來自於', '轉換']","[1, 3, 6]"
"['這', '半導體產業', '階段']","[0, 4, 9]","['成長', '快速']","[5, 7]"
"['1996～2000 年平均', '達到', '％']","[5, 8, 10]","['使得', '成長', '率', '13.7']","[0, 6, 7, 9]"
"['通訊', '消費電子的需求', '量', 'PC市場的下滑']","[1, 6, 8, 14]","['大', '增加', '彌補']","[7, 9, 10]"
"['市場規模', '產能', '  長']","[2, 5, 11]","['增加', '等', '例成']","[6, 8, 10]"
"['原物料', '更']","[1, 3]","['上漲', '造成', '生產', '成本變高']","[2, 4, 5, 6]"
"['其他半導體', '業者', '資本', '上']","[1, 3, 5, 7]","['製造', '支出', '變得', '特別', '謹慎']","[2, 6, 9, 10, 11]"
"['市場', '率', '金額']","[0, 2, 7]","['成長', '趨緩', '投資', '高']","[1, 3, 5, 9]"
"['因此', '整合元件大廠開始']","[0, 6]","['', '增加', '委外', '以', '風險']","[2, 7, 8, 10, 12]"
"['半導體', '設備供應商', '商業模式']","[0, 3, 7]","['製造', '需要', '改變']","[1, 4, 5]"
"['陸', '半導體', '重  地']","[4, 7, 10]","['大', '生產']","[3, 8]"
"['半導體設備', '供應商', '研發', '生產', '亞太投資']","[4, 7, 12, 14, 18]","['預見', '相關', '相關', '組裝', '轉往']","[2, 6, 11, 15, 16]"
"['市場', '成本']","[2, 5]","['接近', '降低']","[1, 4]"
"['儀器', '半導體', '積體電路的原型']","[2, 7, 15]","['快捷', '成功', '完成']","[5, 10, 11]"
"['早期半導體', '句點']","[2, 5]","['發展', '劃下']","[3, 4]"
"['半導體', '價格、更', '功能', '更', '  地', '各式', '電子產品']","[0, 6, 9, 11, 14, 17, 21]","['更低', '強大', '廣泛', '運用', '製造出']","[2, 7, 12, 13, 15]"
